,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,-400129,20000000,1423,1587,0.0619,-0.0057,0.1309,-0.000184,-0.02,-0.08,2012-01-22,LpPolN9,"ts_skewness(vec_avg(anl21_p_d1_price),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,-760399,20000000,1510,1474,0.0662,-0.0132,0.1885,-0.000399,-0.07,-0.22,2012-01-22,MpjvKAM,"ts_skewness(vec_avg(anl21_s_d1_price),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,-727631,20000000,1641,1376,0.0616,-0.0104,0.1275,-0.000337,-0.1,-0.33,2012-01-22,bLY0WOM,"ts_skewness(vec_avg(anl21_p_d1_exptime),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
3,-1047407,20000000,1659,1360,0.079,-0.0149,0.1407,-0.000378,-0.17,-0.5,2012-01-22,Op1d5rJ,"ts_skewness(vec_avg(anl21_p_d1_transtime),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
4,-930393,20000000,1629,1368,0.0555,-0.0162,0.1272,-0.000582,-0.18,-0.49,2012-01-22,jZ5k999,"ts_skewness(vec_avg(anl21_s_d1_exptime),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,-1238030,20000000,1348,1646,0.0494,-0.0176,0.1579,-0.000715,-0.2,-0.54,2012-01-22,17q3nxJ,"ts_skewness(vec_avg(anl21_p_d1_side),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
6,-834766,20000000,1471,1530,0.0563,-0.0145,0.1691,-0.000515,-0.2,-0.6,2012-01-22,ro1ar59,"ts_skewness(vec_avg(anl21_s_d1_checksum),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,-1270480,20000000,1362,1640,0.0851,-0.0221,0.1373,-0.000519,-0.25,-0.59,2012-01-22,RpJx22e,"ts_skewness(vec_avg(anl21_s_d1_gsmqes),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
8,-1560945,20000000,1354,1669,0.0817,-0.0222,0.1617,-0.000544,-0.26,-0.62,2012-01-22,dx2Jl1j,"ts_skewness(vec_avg(anl21_p_d1_gsmqes),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
9,-1125633,20000000,1230,1754,0.0537,-0.0195,0.1182,-0.000728,-0.26,-0.65,2012-01-22,m8Pnrq5,"ts_skewness(vec_avg(anl21_s_d1_msglen),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
10,-1291608,20000000,1491,1532,0.0545,-0.0184,0.1763,-0.000675,-0.29,-0.76,2012-01-22,k3xpLgl,"ts_skewness(vec_avg(anl21_p_d1_checksum),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
11,-1441405,20000000,1189,1813,0.0515,-0.0205,0.1584,-0.000798,-0.3,-0.73,2012-01-22,wR87JZ6,"ts_skewness(vec_avg(anl21_p_d1_msglen),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
12,-1418425,20000000,1319,1644,0.0479,-0.0246,0.1613,-0.001028,-0.33,-0.75,2012-01-22,p6qbVgg,"ts_skewness(vec_avg(anl21_s_d1_side),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
13,-1884263,20000000,1587,1412,0.0747,-0.0327,0.196,-0.000876,-0.55,-1.07,2012-01-22,ZpRVWJQ,"ts_skewness(vec_avg(anl21_s_d1_transtime),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
14,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,7wkPKNx,"ts_skewness(vec_avg(anl21_p_d1_msgtype),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
15,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,WpEra8Z,"ts_skewness(vec_avg(anl21_s_d1_msgtype),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
