,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,12168576,20000000,1219,1482,0.0853,0.1218,0.5541,0.002856,0.48,0.49,2012-01-22,lVLwwz5,"ts_skewness(vec_avg(mws38_negative_freq),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,6600995,20000000,1203,1574,0.0764,0.0661,0.5294,0.001731,0.22,0.3,2012-01-22,k3xpwmz,"ts_skewness(vec_avg(mws38_tc_negative_freq),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,1790921,20000000,1290,1470,0.0573,0.019,0.0986,0.000665,0.21,0.55,2012-01-22,6wn6WzP,"ts_skewness(vec_avg(mws38_storyanalytics_type),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
3,99905,20000000,1368,1338,0.2137,0.0206,0.0295,0.000193,0.18,0.57,2012-01-22,Ypj3Vd6,"ts_skewness(vec_avg(mws38_storyanalytics_entitlement),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,1234318,20000000,1302,1141,0.0566,0.0124,0.0646,0.000436,0.12,0.38,2012-01-22,Qa1RRzg,"ts_skewness(vec_avg(mws38_negative_score),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,1174035,20000000,1345,1402,0.0699,0.0118,0.0833,0.000336,0.12,0.39,2012-01-22,p6qbbZo,"ts_skewness(vec_avg(mws38_positive_score),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
6,986045,20000000,1356,1275,0.0686,0.0099,0.0658,0.000288,0.09,0.31,2012-01-22,z9v7xrE,"ts_skewness(vec_avg(mws38_tc_positive_score),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,1266319,20000000,1404,1393,0.0698,0.0127,0.1823,0.000363,0.09,0.27,2012-01-22,GwqjRQo,"ts_skewness(vec_avg(mws38_uniq_relevances),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
8,1266319,20000000,1404,1393,0.0698,0.0127,0.1823,0.000363,0.09,0.27,2012-01-22,07bZJ76,"ts_skewness(vec_avg(mws38_uniq_new_relevances),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
9,1266319,20000000,1404,1393,0.0698,0.0127,0.1823,0.000363,0.09,0.27,2012-01-22,Ypj3e6R,"ts_skewness(vec_avg(mws38_uniq_long_relevances),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
10,973838,20000000,1376,1295,0.0688,0.0098,0.0536,0.000283,0.09,0.31,2012-01-22,Ypj33Eo,"ts_skewness(vec_avg(mws38_sg_positive_score),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
11,1130929,20000000,1408,1388,0.0707,0.0113,0.1884,0.00032,0.07,0.24,2012-01-22,Ypj33Jq,"ts_skewness(vec_avg(mws38_relevances),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
