,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,7717447,20000000,1360,1399,0.1269,0.0773,0.5569,0.001218,0.24,0.31,2012-01-22,07bVbG6,"ts_skewness(vec_avg(mws46_storyid_g_ens_elapsed),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,5577137,20000000,1360,1400,0.1348,0.0558,0.6717,0.000829,0.14,0.21,2012-01-22,k3xpzP8,"ts_skewness(vec_avg(mws46_g_ens_elapsed),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,4858842,20000000,1348,1349,0.1137,0.0486,0.6206,0.000856,0.12,0.2,2012-01-22,37Mm8l6,"ts_skewness(vec_avg(mws46_ens_elapsed),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
3,1346442,20000000,999,1059,0.0421,0.0135,0.1729,0.000641,0.12,0.37,2012-01-22,adr0rwO,"ts_skewness(vec_avg(mws46_storyid_mcv),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,1248837,20000000,1302,1515,0.0546,0.0125,0.0422,0.000458,0.11,0.35,2012-01-22,vLKERgv,"ts_skewness(vec_avg(mws46_storyid_story_count),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,1044480,20000000,1441,1343,0.0524,0.0105,0.1157,0.000399,0.1,0.36,2012-01-22,p6q2qVX,"ts_skewness(vec_avg(mws46_storyid_elw),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
6,941826,20000000,1447,1338,0.0523,0.0094,0.1028,0.000361,0.09,0.33,2012-01-22,9wz5NXo,"ts_skewness(vec_avg(mws46_elw),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,777149,20000000,1438,1378,0.0655,0.0078,0.082,0.000238,0.08,0.32,2012-01-22,9wzez0r,"ts_skewness(vec_avg(mws46_nip),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
8,714879,20000000,1439,1378,0.0656,0.0072,0.094,0.000218,0.07,0.29,2012-01-22,k3xwq2l,"ts_skewness(vec_avg(mws46_storyid_nip),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
9,768443,20000000,1243,1569,0.0544,0.0077,0.0675,0.000283,0.06,0.25,2012-01-22,RpJORWb,"ts_skewness(vec_avg(mws46_storyid_story_index),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
10,801699,20000000,1304,1513,0.0547,0.008,0.0605,0.000293,0.06,0.23,2012-01-22,xxKLKXJ,"ts_skewness(vec_avg(mws46_story_count),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
11,604063,20000000,1472,1344,0.0544,0.006,0.081,0.000222,0.04,0.17,2012-01-22,YpjVPG6,"ts_skewness(vec_avg(mws46_storyid_news_type),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
12,534059,20000000,1431,1215,0.0506,0.0053,0.0863,0.000211,0.04,0.19,2012-01-22,JpVa6aO,"ts_skewness(vec_avg(mws46_mcp),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
13,594885,20000000,1382,1395,0.069,0.006,0.1102,0.000173,0.03,0.15,2012-01-22,WpErvAG,"ts_skewness(vec_avg(mws46_ess),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
14,351349,20000000,1417,1328,0.0525,0.0035,0.1349,0.000134,0.02,0.12,2012-01-22,wR8d8P1,"ts_skewness(vec_avg(mws46_storyid_mcr),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
15,369690,20000000,1240,1572,0.0545,0.0037,0.0885,0.000136,0.02,0.12,2012-01-22,KbKoKYx,"ts_skewness(vec_avg(mws46_story_index),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
16,364970,20000000,1430,1217,0.0506,0.0037,0.079,0.000144,0.02,0.13,2012-01-22,JpVAV1E,"ts_skewness(vec_avg(mws46_storyid_mcp),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
17,257629,20000000,1474,1341,0.0546,0.0026,0.0946,9.4e-05,0.01,0.07,2012-01-22,Gwq2qJP,"ts_skewness(vec_avg(mws46_news_type),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
18,321738,20000000,1381,1395,0.0692,0.0032,0.1267,9.3e-05,0.01,0.08,2012-01-22,xxKLKGl,"ts_skewness(vec_avg(mws46_storyid_ess),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
19,26036,20000000,1475,1338,0.0465,0.0003,0.1209,1.1e-05,0.0,0.01,2012-01-22,7wk589x,"ts_skewness(vec_avg(mws46_storyid_ssc),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
20,-277799,20000000,1404,1410,0.0526,-0.0028,0.1717,-0.000106,-0.01,-0.06,2012-01-22,ng1j1bx,"ts_skewness(vec_avg(mws46_relevance),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
21,-417045,20000000,1407,1407,0.0521,-0.0042,0.1732,-0.00016,-0.02,-0.09,2012-01-22,Gwq2rp0,"ts_skewness(vec_avg(mws46_storyid_relevance),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
22,-409351,20000000,1268,1545,0.0718,-0.0041,0.1342,-0.000114,-0.02,-0.13,2012-01-22,YpjVjlo,"ts_skewness(vec_avg(mws46_storyid_mce),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
23,-1402285,20000000,1311,75,0.0417,-0.014,0.9055,-0.000673,-0.02,-0.05,2012-01-22,k3xpzj8,"ts_skewness(vec_avg(mws46_ens_key_off),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
24,-530953,20000000,1421,1325,0.0523,-0.0053,0.1547,-0.000203,-0.04,-0.18,2012-01-22,lVLwow8,"ts_skewness(vec_avg(mws46_mcr),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
25,-2643072,20000000,1294,75,0.0407,-0.0265,0.8933,-0.001299,-0.04,-0.09,2012-01-22,eOlMXzz,"ts_skewness(vec_avg(mws46_ens_key),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
26,-563706,20000000,1486,1327,0.0464,-0.0056,0.1607,-0.000243,-0.04,-0.2,2012-01-22,AwRpR6l,"ts_skewness(vec_avg(mws46_ssc),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
27,-980071,20000000,1230,1580,0.0595,-0.0098,0.2047,-0.00033,-0.08,-0.3,2012-01-22,m8PnE5E,"ts_skewness(vec_avg(mws46_category),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
