,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,408142,20000000,107,0,0.5,2.5509,0.0254,0.010204,11.23,4.97,2012-01-22,g1YNX0l,"ts_skewness(vec_avg(nws17_d1_event_text),120)",FAIL,PASS,FAIL,PASS,PASS,FAIL,PASS,WARNING,WARNING
1,348979,20000000,3,3,0.0339,0.0739,0.0254,0.004362,0.65,0.84,2012-01-22,XpjZVxX,"ts_skewness(vec_avg(nws17_d1_headline),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,5124100,20000000,0,0,0.0333,0.128,0.5337,0.007675,0.33,0.33,2012-01-22,PpJLx6J,"ts_skewness(vec_avg(nws17_d1_country_code),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
3,9056019,20000000,1420,1565,0.084,0.0907,0.4466,0.00216,0.32,0.37,2012-01-22,bLY0JJK,"ts_skewness(vec_avg(nws17_d1_qep),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,3287156,20000000,1662,1369,0.0461,0.0329,0.1808,0.001427,0.3,0.58,2012-01-22,ZpRVggx,"ts_skewness(vec_avg(nws17_d1_relevance),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,6121705,20000000,217,169,0.0412,0.0613,0.3493,0.002973,0.25,0.36,2012-01-22,VpvQZZY,"ts_skewness(vec_avg(nws17_d1_reporting_end_time_utc),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
6,6542826,20000000,1136,1112,0.0575,0.0655,0.6687,0.002277,0.25,0.35,2012-01-22,oK1jRwv,"ts_skewness(vec_avg(nws17_d1_bee),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,5657017,20000000,1438,1532,0.0764,0.0566,0.8718,0.001482,0.14,0.21,2012-01-22,wR87311,"ts_skewness(vec_avg(nws17_d1_event_sentiment_score),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
8,1034955,20000000,1374,1667,0.0576,0.0104,0.0521,0.00036,0.12,0.43,2012-01-22,Ypj3EZ6,"ts_skewness(vec_avg(nws17_d1_rp_story_event_count),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
9,1024192,20000000,217,177,0.0905,0.0103,0.1178,0.000227,0.05,0.19,2012-01-22,WpEromZ,"ts_skewness(vec_avg(nws17_d1_reporting_start_time_utc),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
