,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
38,1056741,20000000,1058,1274,0.0582,0.0125,0.075,0.000429,0.13,0.41,2012-01-22,Yp6O7xW,"ts_skewness(vec_avg(pv64_dif_m21_hs_dvd),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
39,1070126,20000000,1061,1271,0.0583,0.0127,0.0757,0.000435,0.13,0.41,2012-01-22,roYwPga,"ts_skewness(vec_avg(pv64_dif_eqy_dvd_sh_12m_net),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
40,2956248,20000000,60,62,0.1018,0.0342,0.25,0.000672,0.13,0.25,2012-01-22,17eAnbQ,"ts_skewness(vec_avg(pv64_px_stal_px_low),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
41,3071250,20000000,754,658,0.0414,0.0355,0.2982,0.001714,0.12,0.22,2012-01-22,MpONOm9,"ts_skewness(vec_avg(pv64_out_stal_fund_asset_alloc_govt),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
42,2070044,20000000,845,940,0.1272,0.0239,0.3281,0.000376,0.12,0.27,2012-01-22,27Mx6N5,"ts_skewness(vec_avg(pv64_dif_stal_m21_hs_dvd),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
43,1832060,20000000,994,1226,0.0614,0.0217,0.096,0.000706,0.12,0.28,2012-01-22,GwPNejG,"ts_skewness(vec_avg(pv64_dif_front_load),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
44,2116590,20000000,846,940,0.1273,0.0245,0.328,0.000385,0.12,0.27,2012-01-22,ng9lA0z,"ts_skewness(vec_avg(pv64_dif_stal_eqy_dvd_sh_12m_net),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
45,3135575,20000000,823,740,0.0599,0.0487,0.5352,0.001625,0.12,0.2,2012-01-22,9wY3Vx9,"ts_skewness(vec_avg(pv64_dif_rcode),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
46,1085283,20000000,1080,1236,0.0562,0.0128,0.152,0.000457,0.1,0.32,2012-01-22,Yp6O72R,"ts_skewness(vec_avg(pv64_dif_fund_turnover),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
47,2302900,20000000,1190,967,0.0722,0.0272,0.4193,0.000755,0.08,0.17,2012-01-22,QaMA7Lr,"ts_skewness(vec_avg(pv64_dif_fund_ira_invest),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
48,2499487,20000000,1170,1213,0.0948,0.0289,0.3343,0.00061,0.07,0.14,2012-01-22,xxqpYem,"ts_skewness(vec_avg(pv64_stal_last_close_trr_1wk),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
49,1908966,20000000,59,63,0.1037,0.0221,0.2743,0.000426,0.07,0.16,2012-01-22,WpM2X9P,"ts_skewness(vec_avg(pv64_px_stal_px_open),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
50,849561,20000000,1112,1097,0.0624,0.01,0.1134,0.000322,0.07,0.26,2012-01-22,17eRzvQ,"ts_skewness(vec_avg(pv64_dif_fd_initial_val),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
51,2100849,20000000,23,21,0.0881,0.0244,0.426,0.000553,0.07,0.15,2012-01-22,ng9lQdz,"ts_skewness(vec_avg(pv64_dif_stal_rcode),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
52,1234490,20000000,68,96,0.0634,0.0143,0.2172,0.00045,0.06,0.17,2012-01-22,wRqk9g5,"ts_skewness(vec_avg(pv64_trr_stal_px_volume),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
53,2051531,20000000,197,162,0.054,0.0238,0.7195,0.000881,0.06,0.13,2012-01-22,bLX15nK,"ts_skewness(vec_avg(pv64_out_stal_fund_mgr_stated_fee),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
54,1784589,20000000,68,92,0.0602,0.0213,0.4804,0.000706,0.06,0.14,2012-01-22,QaMpaAQ,"ts_skewness(vec_avg(pv64_rpx_stal_px_volume),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
55,2742801,20000000,5,5,0.1143,0.0321,0.7227,0.000562,0.06,0.11,2012-01-22,p6mkZRo,"ts_skewness(vec_avg(pv64_dif_stal_min_subsequent_invest),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
56,931914,20000000,761,685,0.1114,0.0108,0.2185,0.000194,0.05,0.18,2012-01-22,QaMAorG,"ts_skewness(vec_avg(pv64_eqy_beta),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
57,1865837,20000000,1193,1190,0.1309,0.0216,0.3661,0.00033,0.05,0.12,2012-01-22,p6mejAX,"ts_skewness(vec_avg(pv64_stal_last_close_trr_1d),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
