,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,19568902,20000000,29,28,0.4438,0.1961,0.6544,0.000884,0.34,0.51,2012-01-22,Xpj3pZb,"ts_skewness(vec_avg(oth84_1_wshactualeps),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,6972351,20000000,199,186,0.4154,0.0699,1.1123,0.000336,0.08,0.19,2012-01-22,NpXdpE7,"ts_skewness(vec_avg(oth84_1_zacksepsest),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
2,1419032,20000000,204,197,0.421,0.0142,0.8938,6.8e-05,0.01,0.04,2012-01-22,ro1qo03,"ts_skewness(vec_avg(oth84_1_lastvolumeratio),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
3,-1045351,20000000,211,206,0.4236,-0.0105,1.5303,-4.9e-05,-0.0,-0.03,2012-01-22,WpEZp7G,"ts_skewness(vec_avg(oth84_1_lastearningseps),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
4,-18525485,20000000,212,211,0.4199,-0.1857,2.5974,-0.000885,-0.33,-0.5,2012-01-22,Xpj3paX,"ts_skewness(vec_avg(oth84_1_lastpctperformance),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,-21409602,20000000,189,193,0.4198,-0.2146,2.3487,-0.001022,-0.41,-0.57,2012-01-22,g1Yl1jm,"ts_skewness(vec_avg(oth84_1_lastearningsest),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
6,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,KbKob7k,"ts_skewness(vec_avg(oth84_1_conferencecalltime),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
7,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,AwRpwxl,"ts_skewness(vec_avg(oth84_1_prevyear),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
8,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,07bV7Z8,"ts_skewness(vec_avg(oth84_1_year),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
