,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,14950456,20000000,2,2,0.0828,0.1556,0.4709,0.003759,0.57,0.51,2012-01-22,jZEAXAZ,"ts_skewness(vec_avg(anl16_estorgnotenorm_estcomsplitadj),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
1,8356948,20000000,219,147,0.1442,0.0837,0.2414,0.001161,0.5,0.65,2012-01-22,8zojrZv,"ts_skewness(vec_avg(anl16_estorgnotevalue_ascontrib),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,11668507,20000000,1360,1523,0.084,0.1168,0.7066,0.002783,0.43,0.45,2012-01-22,adYb2J5,"ts_skewness(vec_avg(anl16_aftercons_high),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
3,12010036,20000000,1441,1427,0.0924,0.1202,1.0003,0.002602,0.39,0.4,2012-01-22,9wvjgrr,"ts_skewness(vec_avg(anl16_aftercons_difference),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,3182805,20000000,1257,1584,0.0451,0.0319,0.0816,0.001413,0.33,0.65,2012-01-22,37bXx6X,"ts_skewness(vec_avg(anl16_estimate_d1_estvalue_ascontrib),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,6016761,20000000,220,147,0.1426,0.0602,0.2444,0.000845,0.31,0.47,2012-01-22,ro3OzL9,"ts_skewness(vec_avg(anl16_estorgnotevalue_normal),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
6,9959016,20000000,32,30,0.349,0.0997,0.304,0.000571,0.3,0.56,2012-01-22,7wANO5O,"ts_skewness(vec_avg(anl16_actgrowth),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
7,5910541,20000000,220,147,0.1426,0.0592,0.2427,0.00083,0.3,0.46,2012-01-22,LpjN6wn,"ts_skewness(vec_avg(anl16_estorgnotevalue),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
8,8316486,20000000,1355,1524,0.0787,0.0833,0.6957,0.002116,0.24,0.29,2012-01-22,270wqoN,"ts_skewness(vec_avg(anl16_beforecons_high),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
9,1757901,20000000,1452,1333,0.0647,0.0195,0.1114,0.000601,0.23,0.57,2012-01-22,xx63evb,"ts_skewness(vec_avg(anl16_senumincests),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
10,7936103,20000000,31,28,0.3308,0.0795,0.5891,0.00048,0.22,0.45,2012-01-22,270wEVb,"ts_skewness(vec_avg(anl16_actstability),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
11,6589618,20000000,482,457,0.2155,0.066,0.4175,0.000612,0.22,0.4,2012-01-22,9wvjgXd,"ts_skewness(vec_avg(anl16_actsurprise),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
12,6830604,20000000,1394,1463,0.079,0.0684,0.4919,0.001732,0.21,0.28,2012-01-22,LpjNbq1,"ts_skewness(vec_avg(anl16_afterest_difference),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
13,2914728,20000000,1424,1405,0.0583,0.0323,0.1351,0.001107,0.19,0.38,2012-01-22,07lXAP1,"ts_skewness(vec_avg(anl16_seunit_scale_normal),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
14,6344449,20000000,1262,1574,0.079,0.0635,0.7138,0.001609,0.19,0.26,2012-01-22,adYb20w,"ts_skewness(vec_avg(anl16_beforecons_stddev),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
15,724555,20000000,1422,1423,0.0705,0.0224,0.0825,0.000634,0.19,0.44,2012-01-22,p6XR8AV,"ts_skewness(vec_avg(anl16_sranarecstockt24),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
16,2902601,20000000,1424,1405,0.0583,0.0321,0.1363,0.001103,0.19,0.38,2012-01-22,Vp9aXN5,"ts_skewness(vec_avg(anl16_seunit_scale),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
17,1611122,20000000,923,670,0.0989,0.0161,0.0703,0.000326,0.19,0.52,2012-01-22,p6XRnVo,"ts_skewness(vec_avg(anl16_scermun),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
18,1551098,20000000,1255,1585,0.0439,0.0155,0.0812,0.000707,0.18,0.5,2012-01-22,dxXbm7E,"ts_skewness(vec_avg(anl16_estimate_d1_estvalue),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
19,1554561,20000000,1255,1585,0.0439,0.0156,0.0811,0.000709,0.18,0.5,2012-01-22,6w8j1qG,"ts_skewness(vec_avg(anl16_estimate_d1_estvalue_normal),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
20,5557015,20000000,1405,1481,0.112,0.0556,0.3798,0.000994,0.18,0.27,2012-01-22,lVqv6n8,"ts_skewness(vec_avg(anl16_beforecons_numitems),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
21,1262848,20000000,1225,1221,0.0603,0.014,0.0814,0.000464,0.17,0.51,2012-01-22,Rp3b2rz,"ts_skewness(vec_avg(anl16_pctchangefrommean),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
22,2074115,20000000,1376,1457,0.072,0.0208,0.1722,0.000577,0.16,0.38,2012-01-22,179X1MX,"ts_skewness(vec_avg(anl16_estimate_d1_estunit_scale),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
23,2098652,20000000,1376,1456,0.072,0.021,0.1722,0.000584,0.16,0.38,2012-01-22,PpW2qVK,"ts_skewness(vec_avg(anl16_estimate_d1_estunit_scale_normal),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
24,2053686,20000000,1375,1458,0.0719,0.0206,0.1732,0.000572,0.15,0.38,2012-01-22,37bX3N0,"ts_skewness(vec_avg(anl16_estimate_d1_estunit_scale_ascontrib),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
25,3544317,20000000,61,68,0.0644,0.0355,0.2663,0.001102,0.14,0.27,2012-01-22,dxXbgPJ,"ts_skewness(vec_avg(anl16_estimate_d1_estnorm_estcomsplitadj),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
26,848049,20000000,655,620,0.0927,0.0118,0.0712,0.000255,0.12,0.38,2012-01-22,Yprbwow,"ts_skewness(vec_avg(anl16_afterest_stdvalue),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
27,3144033,20000000,719,714,0.0908,0.0315,0.3559,0.000693,0.12,0.23,2012-01-22,9wvjoer,"ts_skewness(vec_avg(anl16_2scermun),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
28,1330400,20000000,595,605,0.0934,0.0133,0.0979,0.000285,0.11,0.34,2012-01-22,m83mOG2,"ts_skewness(vec_avg(anl16_1scermun),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
29,1000988,20000000,1385,1436,0.049,0.01,0.0781,0.000409,0.09,0.33,2012-01-22,oKpL38J,"ts_skewness(vec_avg(anl16_medianest),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
