,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,5742717,20000000,323,300,0.1023,0.0576,0.515,0.001126,0.22,0.32,2012-01-22,KbKAz9g,"ts_skewness(vec_avg(nws20_d1_headline),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,3025831,20000000,1463,1598,0.0688,0.0303,0.1666,0.00088,0.22,0.45,2012-01-22,Ypj3ElJ,"ts_skewness(vec_avg(nws20_d1_ber),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,2760425,20000000,1440,1622,0.0742,0.0276,0.1056,0.000745,0.2,0.43,2012-01-22,vLK7pZa,"ts_skewness(vec_avg(nws20_d1_acb),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
3,1948691,20000000,1584,1479,0.0432,0.0195,0.0849,0.000904,0.15,0.39,2012-01-22,wR87GPQ,"ts_skewness(vec_avg(nws20_d1_relevance),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
4,2719968,20000000,710,779,0.0529,0.0272,0.4379,0.00103,0.11,0.24,2012-01-22,dx2JzNv,"ts_skewness(vec_avg(nws20_d1_reporting_start_time_utc),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,1241271,20000000,1412,1652,0.0661,0.0124,0.078,0.000376,0.11,0.36,2012-01-22,ZpRVzMZ,"ts_skewness(vec_avg(nws20_d1_qep),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
6,783070,20000000,1495,1569,0.0486,0.0078,0.0863,0.000322,0.07,0.29,2012-01-22,vLK7GWG,"ts_skewness(vec_avg(nws20_d1_ssc),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,1877277,20000000,377,344,0.1263,0.0195,0.5948,0.000309,0.05,0.12,2012-01-22,7wkPmnO,"ts_skewness(vec_avg(nws20_d1_event_text),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
8,457295,20000000,1335,1730,0.0517,0.0046,0.0685,0.000177,0.03,0.15,2012-01-22,LpPorPa,"ts_skewness(vec_avg(nws20_d1_rp_story_event_count),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
9,502014,20000000,1501,1559,0.0715,0.005,0.1236,0.000141,0.03,0.15,2012-01-22,wR872G6,"ts_skewness(vec_avg(nws20_d1_event_similarity_days),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
10,329757,20000000,1466,1598,0.0888,0.0033,0.0782,7.4e-05,0.02,0.14,2012-01-22,5wZK5eM,"ts_skewness(vec_avg(nws20_d1_qmb),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
11,324935,20000000,1521,1539,0.0707,0.0033,0.0815,9.2e-05,0.01,0.09,2012-01-22,dx2J33j,"ts_skewness(vec_avg(nws20_d1_event_sentiment_score),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
12,50839,20000000,1325,1740,0.0501,0.0005,0.0937,2e-05,0.0,0.02,2012-01-22,ng1GqL8,"ts_skewness(vec_avg(nws20_d1_rp_story_event_index),120)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
13,-635019,20000000,1531,1534,0.0829,-0.0064,0.1323,-0.000153,-0.05,-0.21,2012-01-22,vLK76Kw,"ts_skewness(vec_avg(nws20_d1_timestamp_utc_time),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
14,-2002502,20000000,752,950,0.0555,-0.02,0.7553,-0.000723,-0.05,-0.13,2012-01-22,7wkPmeL,"ts_skewness(vec_avg(nws20_d1_reporting_end_time_utc),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
15,-1024266,20000000,1416,1648,0.072,-0.0103,0.1779,-0.000285,-0.12,-0.43,2012-01-22,eOlMG0E,"ts_skewness(vec_avg(nws20_d1_nip),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
16,-3829292,20000000,1287,1255,0.0834,-0.0383,0.9108,-0.000919,-0.14,-0.26,2012-01-22,AwRXz7Y,"ts_skewness(vec_avg(nws20_d1_ghc_lna),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
17,-1356208,20000000,1569,1490,0.0686,-0.0136,0.2044,-0.000396,-0.14,-0.43,2012-01-22,271VXX8,"ts_skewness(vec_avg(nws20_d1_event_relevance),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
18,-4162228,20000000,1561,1419,0.0919,-0.0417,0.8177,-0.000907,-0.16,-0.28,2012-01-22,wR8723d,"ts_skewness(vec_avg(nws20_d1_bam),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
19,-3368355,20000000,0,0,0.0371,-0.0821,0.8263,-0.004421,-0.16,-0.2,2012-01-22,k3xpWv6,"ts_skewness(vec_avg(nws20_d1_country_code),120)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
20,-2166200,20000000,1303,1760,0.0689,-0.0217,0.2559,-0.00063,-0.17,-0.41,2012-01-22,lVLwGln,"ts_skewness(vec_avg(nws20_d1_qcm),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
21,-9776327,20000000,1130,1143,0.0852,-0.0979,1.2592,-0.002298,-0.31,-0.35,2012-01-22,ng1Gq8x,"ts_skewness(vec_avg(nws20_d1_event_start_time_utc),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
22,-11359855,20000000,1112,1163,0.0796,-0.1137,1.6135,-0.002857,-0.46,-0.48,2012-01-22,7wkPvvb,"ts_skewness(vec_avg(nws20_d1_event_end_time_utc),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
23,-8891818,20000000,1447,1611,0.0842,-0.089,1.007,-0.002115,-0.6,-0.71,2012-01-22,z9v7221,"ts_skewness(vec_avg(nws20_d1_bee),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARNING,WARNING
