,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,9430593,20000000,115,89,0.0959,0.0944,0.459,0.001969,0.44,0.51,2012-01-22,Xpj3pwm,"ts_skewness(vec_avg(oth78_fullyearflag),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
1,6007548,20000000,375,417,0.2531,0.0601,0.2922,0.000475,0.26,0.53,2012-01-22,RpJOrOo,"ts_skewness(vec_avg(oth78_fiscalquarter),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
2,3219065,20000000,0,0,0.0571,0.0322,1.2555,0.001128,0.05,0.09,2012-01-22,LpPvRo2,"ts_skewness(vec_avg(oth78_calendarmonth),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
3,1715904,20000000,307,319,0.1099,0.0172,0.3226,0.000313,0.05,0.14,2012-01-22,AwRpwqW,"ts_skewness(vec_avg(oth78_transcribeflag),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,317454,20000000,472,461,0.1383,0.0049,0.2702,7.1e-05,0.01,0.05,2012-01-22,lVLn0n7,"ts_skewness(vec_avg(oth78_delayreasonnotes),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
5,344421,20000000,356,352,0.3027,0.0098,0.4158,6.4e-05,0.01,0.06,2012-01-22,8zm0z6m,"ts_skewness(vec_avg(oth78_sourcetypename),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
6,-748775,20000000,644,722,0.2432,-0.0103,0.3854,-8.5e-05,-0.02,-0.08,2012-01-22,KbKoL1j,"ts_skewness(vec_avg(oth78_delayreasontypename),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
7,-303652,20000000,1078,1007,0.1105,-0.0041,0.0837,-7.3e-05,-0.03,-0.15,2012-01-22,5wZmvXN,"ts_skewness(vec_avg(oth78_componentorder),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
8,-2629776,20000000,245,257,0.2543,-0.0282,0.5967,-0.000222,-0.05,-0.16,2012-01-22,NpXdOdg,"ts_skewness(vec_avg(oth78_erdaily_estimatedtimeflag),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
9,-1160560,20000000,455,450,0.144,-0.0173,0.3498,-0.000241,-0.05,-0.15,2012-01-22,RpJOrxo,"ts_skewness(vec_avg(oth78_daily_cancelledflag),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
10,-921609,20000000,352,388,0.0676,-0.0097,0.2437,-0.000288,-0.06,-0.22,2012-01-22,7wk5wQZ,"ts_skewness(vec_avg(oth78_preliminaryresultsflag),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
11,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,Op1L9dJ,"ts_skewness(vec_avg(oth78_erdaily_cancelledflag),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
12,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,271gKgw,"ts_skewness(vec_avg(oth78_calendaryear),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
13,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,eOlYOA6,"ts_skewness(vec_avg(oth78_timestamp),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
14,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,9wzewgV,"ts_skewness(vec_avg(oth78_fiscalyear),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
15,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,RpJOpZ1,"ts_skewness(vec_avg(oth78_icdaily_cancelledflag),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
16,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,Xpj3pLl,"ts_skewness(vec_avg(oth78_meetingdaily_cancelledflag),120)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,WARNING,WARNING
