,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
0,38281688,20000000,1118,1647,0.0656,0.3833,0.5931,0.011687,0.96,0.55,2012-01-22,vLqrbaG,"ts_skewness(vec_avg(anl69_best_sales_stddev),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
1,8220255,20000000,1287,1457,0.0655,0.1269,0.2664,0.003874,0.81,0.8,2012-01-22,JpwN8rm,"ts_skewness(vec_avg(anl69_best_eps_gaap_4wk_dn),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
2,18393184,20000000,1118,1142,0.0659,0.1842,0.4389,0.005588,0.81,0.67,2012-01-22,7wAN69Q,"ts_skewness(vec_avg(anl69_best_bps_lo),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
3,18170436,20000000,1036,1222,0.0694,0.1819,0.4685,0.005245,0.8,0.66,2012-01-22,7wANra1,"ts_skewness(vec_avg(anl69_bps_best_bps),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
4,23319547,20000000,957,1906,0.0438,0.3601,1.0669,0.016429,0.76,0.45,2012-01-22,YprbOXW,"ts_skewness(vec_avg(anl69_best_sales_median),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
5,9084598,20000000,893,1214,0.0185,0.091,0.2813,0.009846,0.61,0.72,2012-01-22,lVqvMgx,"ts_skewness(vec_avg(anl69_best_dps_numest),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
6,13262211,20000000,1365,1474,0.0866,0.1328,0.4567,0.003068,0.59,0.57,2012-01-22,PpW28oK,"ts_skewness(vec_avg(anl69_best_ptp_4wk_chg),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
7,4110653,20000000,493,664,0.0564,0.0635,0.2369,0.002251,0.51,0.71,2012-01-22,270wjGJ,"ts_skewness(vec_avg(anl69_best_dps_4wk_up),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
8,6344835,20000000,1230,1205,0.1008,0.098,0.2349,0.001943,0.49,0.55,2012-01-22,p6XRpoj,"ts_skewness(vec_avg(anl69_best_roe_median),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
9,4514278,20000000,1109,1234,0.0581,0.0697,0.1484,0.002401,0.46,0.61,2012-01-22,p6XRpgq,"ts_skewness(vec_avg(anl69_best_roe_4wk_up),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
10,6557665,20000000,1353,1534,0.0891,0.1013,0.4707,0.002273,0.45,0.5,2012-01-22,vLqrAGv,"ts_skewness(vec_avg(anl69_best_eps_median),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
11,8220846,20000000,1433,1377,0.0408,0.0823,0.2554,0.004032,0.4,0.49,2012-01-22,z9M8GME,"ts_skewness(vec_avg(anl69_best_net_gaap_numest),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
12,5142509,20000000,930,1039,0.0807,0.0794,0.429,0.001968,0.37,0.46,2012-01-22,AwWNElR,"ts_skewness(vec_avg(anl69_best_roa_chg_pct),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
13,5655198,20000000,1070,1154,0.023,0.0566,0.1927,0.004933,0.34,0.5,2012-01-22,JpwNr3n,"ts_skewness(vec_avg(anl69_best_roa_numest),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
14,9500814,20000000,976,1285,0.0695,0.0951,0.5938,0.002735,0.31,0.35,2012-01-22,wRmZbgx,"ts_skewness(vec_avg(anl69_best_bps_hi),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
15,5880374,20000000,710,1025,0.0229,0.0589,0.4963,0.005133,0.3,0.43,2012-01-22,eOpbNap,"ts_skewness(vec_avg(anl69_best_nav_numest),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
16,2777161,20000000,634,987,0.0516,0.0429,0.1607,0.001661,0.3,0.52,2012-01-22,PpW2xnw,"ts_skewness(vec_avg(anl69_best_nav_4wk_up),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
17,4098856,20000000,1175,1479,0.0605,0.0633,0.3413,0.002093,0.28,0.4,2012-01-22,Rp3bKWz,"ts_skewness(vec_avg(anl69_best_opp_4wk_up),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
