,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
80,-536820,20000000,8,20,0.0753,-0.0158,0.799,-0.00042,-0.01,-0.03,2012-01-22,qAK2lAZ,"ts_skewness(vec_avg(fnd14_crr_adt_aff_hm_off_stt_nm),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
81,-536820,20000000,8,20,0.0753,-0.0158,0.799,-0.00042,-0.01,-0.03,2012-01-22,RpJx8rd,"ts_skewness(vec_avg(fnd14_crr_adt_aff_hm_off_stt),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
82,-489424,20000000,8,20,0.0745,-0.0144,0.7987,-0.000387,-0.01,-0.03,2012-01-22,lVLwAVx,"ts_skewness(vec_avg(fnd14_sgr_bcp_ffa_tda_rrc),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
83,-615563,20000000,8,20,0.0743,-0.0181,0.8113,-0.000488,-0.02,-0.04,2012-01-22,LpPo1pM,"ts_skewness(vec_avg(fnd14_crr_adt_aff_hm_off_stt_rgn),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
84,-245280,20000000,896,831,0.1645,-0.0069,0.1836,-8.4e-05,-0.02,-0.09,2012-01-22,qAK2NxE,"ts_skewness(vec_avg(fnd14_hiwater_price_close),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
85,-419029,20000000,44,65,0.0879,-0.0118,0.3448,-0.000269,-0.02,-0.07,2012-01-22,ng1G7Rw,"ts_skewness(vec_avg(fnd14_last_reported_auditor_event_type),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
86,-656113,20000000,820,780,0.0964,-0.0185,0.4482,-0.000384,-0.03,-0.07,2012-01-22,VpvQ8l8,"ts_skewness(vec_avg(fnd14_1_pc_krm_sto_rhs_ltt_stl),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
87,-63423,20000000,0,0,0.0435,-0.0172,0.0598,-0.000793,-0.04,-0.12,2012-01-22,xxK710p,"ts_skewness(vec_avg(fnd14_parent_company_name),120)",FAIL,PASS,FAIL,FAIL,ERROR,PASS,WARNING,WARNING
88,-596097,20000000,562,582,0.193,-0.0168,0.3141,-0.000174,-0.04,-0.15,2012-01-22,JpVavlA,"ts_skewness(vec_avg(fnd14_current_total_shares_outstanding),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
89,-1320793,20000000,9,22,0.076,-0.0389,0.8863,-0.001023,-0.04,-0.08,2012-01-22,KbKAJ9x,"ts_skewness(vec_avg(fnd14_sgr_bcp_ffa_tda_wnk_tsl),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
90,-1060444,20000000,9,9,0.135,-0.0304,0.8612,-0.000451,-0.04,-0.09,2012-01-22,Qa1RK7w,"ts_skewness(vec_avg(fnd14_mail_state_region),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
91,-1297786,20000000,667,438,0.0852,-0.0366,0.5581,-0.000859,-0.05,-0.1,2012-01-22,JpVa7Gl,"ts_skewness(vec_avg(fnd14_latest_non_audit_fees_sum),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
92,-849915,20000000,45,69,0.083,-0.024,0.57,-0.000578,-0.05,-0.12,2012-01-22,JpVavEn,"ts_skewness(vec_avg(fnd14_curr_auditor_latest_event_type),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
93,-457363,20000000,1200,1207,0.1587,-0.0129,0.1228,-0.000163,-0.05,-0.18,2012-01-22,m8PnX21,"ts_skewness(vec_avg(fnd14_2_mtt_vqe_hsc_hsc_nhc_hsc_stl),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
94,-1397549,20000000,9,22,0.0786,-0.0412,0.8291,-0.001047,-0.05,-0.09,2012-01-22,XpjZWA1,"ts_skewness(vec_avg(fnd14_lst_knw_adt_aff_hm_off_stt_nm),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
95,-1397549,20000000,9,22,0.0786,-0.0412,0.8291,-0.001047,-0.05,-0.09,2012-01-22,07bZR2k,"ts_skewness(vec_avg(fnd14_lst_knw_adt_aff_hm_off_stt),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
96,-550168,20000000,612,627,0.1858,-0.0156,0.1735,-0.000167,-0.06,-0.19,2012-01-22,Qa1RGeg,"ts_skewness(vec_avg(fnd14_hiwater_balsh_total_assets),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
97,-1018804,20000000,454,342,0.0886,-0.0287,0.4743,-0.000649,-0.06,-0.13,2012-01-22,xxK7jmJ,"ts_skewness(vec_avg(fnd14_latest_audit_related_fees_sum),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
98,-1617333,20000000,8,21,0.0755,-0.0476,0.9168,-0.001261,-0.06,-0.1,2012-01-22,17q3XEX,"ts_skewness(vec_avg(fnd14_lst_knw_adt_aff_hm_off_stt_rgn),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
99,-610743,20000000,146,152,0.2035,-0.0174,0.1751,-0.000171,-0.06,-0.2,2012-01-22,LpPoGev,"ts_skewness(vec_avg(fnd14_hiwater_incmst_net_income_fy),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
100,-1916965,20000000,5,5,0.1254,-0.0564,0.7878,-0.0009,-0.07,-0.11,2012-01-22,7wkPzNL,"ts_skewness(vec_avg(fnd14_inc_state_country),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
101,-1735297,20000000,42,43,0.1659,-0.0492,0.7834,-0.000594,-0.07,-0.12,2012-01-22,6wn6Ae7,"ts_skewness(vec_avg(fnd14_rlf_cca_grl_rlf_cca),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
102,-896497,20000000,624,939,0.2309,-0.0253,0.2134,-0.000219,-0.07,-0.2,2012-01-22,17q3WmJ,"ts_skewness(vec_avg(fnd14_ykf_mrf_nlf_drp_ncr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
103,-1762447,20000000,12,11,0.1549,-0.0517,0.5863,-0.000667,-0.08,-0.14,2012-01-22,MpjvYLk,"ts_skewness(vec_avg(fnd14_sic_code_description),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
104,-1650073,20000000,2,2,0.0769,-0.0572,0.5521,-0.001488,-0.1,-0.15,2012-01-22,LpPo51m,"ts_skewness(vec_avg(fnd14_prv_adt_aff_hm_off_stt_rgn),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
105,-1650073,20000000,2,2,0.0769,-0.0572,0.5521,-0.001488,-0.1,-0.15,2012-01-22,Mpjv0L9,"ts_skewness(vec_avg(fnd14_prv_adt_aff_hm_off_stt_nm),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
106,-1504938,20000000,348,335,0.172,-0.0425,0.7397,-0.000494,-0.1,-0.21,2012-01-22,dx2JZqK,"ts_skewness(vec_avg(fnd14_hiwater_balsh_book_value),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
107,-1650073,20000000,2,2,0.0769,-0.0572,0.5521,-0.001488,-0.1,-0.15,2012-01-22,8zmWvem,"ts_skewness(vec_avg(fnd14_prv_adt_aff_hm_off_stt),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
108,-1197671,20000000,1025,1361,0.0915,-0.0338,0.4931,-0.000739,-0.1,-0.19,2012-01-22,adrmLMW,"ts_skewness(vec_avg(fnd14_latestqu_filing_type_code_qtr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
109,-1686437,20000000,29,30,0.1875,-0.0476,0.5223,-0.000508,-0.11,-0.21,2012-01-22,m8PnYV6,"ts_skewness(vec_avg(fnd14_prev_auditor_fkey),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
110,-613654,20000000,1404,1289,0.1677,-0.0173,0.1137,-0.000206,-0.11,-0.33,2012-01-22,EwZnQa0,"ts_skewness(vec_avg(fnd14_ykf_mn_lf_ptf_nlf_drp_ncr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
111,-613654,20000000,1404,1289,0.1677,-0.0173,0.1137,-0.000206,-0.11,-0.33,2012-01-22,271VAWZ,"ts_skewness(vec_avg(fnd14_txt_mn_lf_tth_nlf_drp_ncr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
112,-613654,20000000,1404,1289,0.1677,-0.0173,0.1137,-0.000206,-0.11,-0.33,2012-01-22,Qa1RKOg,"ts_skewness(vec_avg(fnd14_mth_mn_lf_tth_nlf_drp_ncr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
113,-1340919,20000000,1149,1509,0.1045,-0.0378,0.4312,-0.000724,-0.12,-0.22,2012-01-22,RpJxVqb,"ts_skewness(vec_avg(fnd14_latestqu_filing_type_code_ttm),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
114,-132636,20000000,0,0,0.044,-0.0364,0.0673,-0.001658,-0.13,-0.25,2012-01-22,Op1dAVJ,"ts_skewness(vec_avg(fnd14_ultimate_parent_company_name),120)",FAIL,PASS,FAIL,FAIL,ERROR,PASS,WARNING,WARNING
115,-2799821,20000000,15,17,0.0735,-0.0805,1.0118,-0.002192,-0.14,-0.18,2012-01-22,jZ5k0N5,"ts_skewness(vec_avg(fnd14_company_is_emerging_registrant),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
116,-2842345,20000000,1182,1380,0.1111,-0.0803,0.9268,-0.001445,-0.14,-0.18,2012-01-22,xxK7Y2q,"ts_skewness(vec_avg(fnd14_latestqu_incmst_revenue_ttm),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
117,-3610468,20000000,558,573,0.1455,-0.1025,1.3689,-0.001409,-0.16,-0.19,2012-01-22,17q3Xpz,"ts_skewness(vec_avg(fnd14_lts_csh_csh_fnn_act_ttm_1),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
118,-860419,20000000,562,646,0.1016,-0.0243,0.1534,-0.000478,-0.16,-0.36,2012-01-22,07bZwpv,"ts_skewness(vec_avg(fnd14_latest_total_fees_sum),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
119,-2120737,20000000,1472,1450,0.0858,-0.0598,0.696,-0.001395,-0.17,-0.25,2012-01-22,ZpRV0dn,"ts_skewness(vec_avg(fnd14_latestqu_price_close),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
120,-1778572,20000000,0,0,0.029,-0.062,0.6444,-0.004276,-0.18,-0.26,2012-01-22,m8Pn66E,"ts_skewness(vec_avg(fnd14_meta_add_change_delete_flag),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
121,-2219522,20000000,34,34,0.1839,-0.0627,0.5954,-0.000682,-0.18,-0.31,2012-01-22,ro1adla,"ts_skewness(vec_avg(fnd14_prev_auditor_name),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
122,-2831295,20000000,1552,1264,0.0844,-0.0799,0.7477,-0.001893,-0.2,-0.25,2012-01-22,JpVadYn,"ts_skewness(vec_avg(fnd14_2_pc_krm_sto_rhs_ltt_stl),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
123,-2581098,20000000,87,113,0.1023,-0.0737,0.6316,-0.00144,-0.22,-0.29,2012-01-22,XpjZJJa,"ts_skewness(vec_avg(fnd14_market),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
124,-2728523,20000000,33,30,0.1736,-0.0786,0.5104,-0.000906,-0.22,-0.33,2012-01-22,xxK7jKq,"ts_skewness(vec_avg(fnd14_irs_number),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
125,-1857377,20000000,477,455,0.215,-0.0528,0.35,-0.000491,-0.23,-0.46,2012-01-22,jZ5kjk9,"ts_skewness(vec_avg(fnd14_latestfy_incmst_ebitda_qtr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
126,-4380875,20000000,486,489,0.1393,-0.1243,1.3836,-0.001785,-0.23,-0.24,2012-01-22,WpErbVG,"ts_skewness(vec_avg(fnd14_lts_csh_csh_fnn_act_qtr_1),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
127,-3116238,20000000,525,490,0.1839,-0.0884,0.6112,-0.000962,-0.24,-0.34,2012-01-22,AwRXlXl,"ts_skewness(vec_avg(fnd14_latestfy_incmst_ebitda_ttm),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
128,-5116211,20000000,595,557,0.1042,-0.1444,1.5816,-0.002771,-0.25,-0.23,2012-01-22,PpJL7mJ,"ts_skewness(vec_avg(fnd14_latestfy_incmst_revenue_ttm),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
129,-3204252,20000000,2,2,0.081,-0.1111,0.6048,-0.002745,-0.26,-0.28,2012-01-22,p6qbd6o,"ts_skewness(vec_avg(fnd14_sgr_bcp_ffa_tda_vrp),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
130,-4316580,20000000,1256,1437,0.0792,-0.1218,1.4395,-0.003075,-0.27,-0.27,2012-01-22,GwqjdXQ,"ts_skewness(vec_avg(fnd14_latestqu_incmst_revenue_qtr),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
131,-4383733,20000000,7,7,0.138,-0.1258,1.2777,-0.001824,-0.28,-0.29,2012-01-22,8zmW3xo,"ts_skewness(vec_avg(fnd14_loc_state_region),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
132,-4002761,20000000,0,1,0.0377,-0.1275,1.5826,-0.006765,-0.28,-0.28,2012-01-22,EwZnVPP,"ts_skewness(vec_avg(fnd14_rpo_nn_chc_nlb_lhs_pmc),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
133,-3100230,20000000,4,4,0.1004,-0.0935,0.5957,-0.001862,-0.28,-0.32,2012-01-22,NpXEeRq,"ts_skewness(vec_avg(fnd14_prev_auditor_affiliate_name),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
134,-2466230,20000000,49,82,0.0915,-0.0696,0.4135,-0.001521,-0.28,-0.37,2012-01-22,RpJx7Rj,"ts_skewness(vec_avg(fnd14_last_known_auditor_event_type),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
135,-4177580,20000000,30,33,0.1033,-0.12,1.1732,-0.002325,-0.29,-0.3,2012-01-22,adrmEKR,"ts_skewness(vec_avg(fnd14_filer_act),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
136,-4137990,20000000,578,594,0.2001,-0.1176,0.7328,-0.001175,-0.3,-0.39,2012-01-22,07bZ8kK,"ts_skewness(vec_avg(fnd14_1_vqe_hsc_hsc_slb_stl),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
137,-2438162,20000000,492,491,0.1943,-0.0692,0.4056,-0.000712,-0.31,-0.52,2012-01-22,ro1aW63,"ts_skewness(vec_avg(fnd14_1_rtq_vqe_hsc_hsc_nhc_hsc_stl),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
138,-4804412,20000000,7,7,0.1383,-0.1379,1.3406,-0.001994,-0.32,-0.32,2012-01-22,z9v79AO,"ts_skewness(vec_avg(fnd14_bus_state_region),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
139,-1509109,20000000,1199,1195,0.176,-0.0426,0.2009,-0.000484,-0.32,-0.65,2012-01-22,g1YNbXg,"ts_skewness(vec_avg(fnd14_lts_csh_csh_inv_act_ttm_2),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
140,-2222812,20000000,917,935,0.0975,-0.0627,0.3404,-0.001287,-0.33,-0.47,2012-01-22,9wz5jK1,"ts_skewness(vec_avg(fnd14_lts_ann_qrt_ind_2),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
141,-1660709,20000000,1418,1641,0.0837,-0.0469,0.2464,-0.00112,-0.35,-0.57,2012-01-22,eOlMxAM,"ts_skewness(vec_avg(fnd14_current_price_close),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
142,-2634997,20000000,286,194,0.1562,-0.1236,0.7134,-0.001583,-0.36,-0.4,2012-01-22,LpPodMv,"ts_skewness(vec_avg(fnd14_filer_assistant_director),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
143,-3544384,20000000,13,12,0.0906,-0.1059,0.5008,-0.002336,-0.38,-0.41,2012-01-22,adrm7AR,"ts_skewness(vec_avg(fnd14_latest_benefits_fees_sum),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
144,-2317507,20000000,625,569,0.2137,-0.0654,0.269,-0.000612,-0.45,-0.81,2012-01-22,6wn6ldL,"ts_skewness(vec_avg(fnd14_latestfy_balsh_total_assets),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
145,-2522238,20000000,465,467,0.228,-0.0716,0.289,-0.000628,-0.45,-0.81,2012-01-22,p6qbjNV,"ts_skewness(vec_avg(fnd14_latestfy_balsh_book_value),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
146,-6028629,20000000,8,8,0.1436,-0.1715,0.8865,-0.002388,-0.48,-0.44,2012-01-22,GwqjGWx,"ts_skewness(vec_avg(fnd14_inc_state),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
147,-6028629,20000000,8,8,0.1436,-0.1715,0.8865,-0.002388,-0.48,-0.44,2012-01-22,oK1jNLJ,"ts_skewness(vec_avg(fnd14_inc_state_name),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
148,-4623060,20000000,417,332,0.0874,-0.1304,0.8518,-0.002984,-0.48,-0.47,2012-01-22,ro1a2RE,"ts_skewness(vec_avg(fnd14_hiwater_total_shares_outstanding),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
149,-2762828,20000000,1215,1216,0.1597,-0.078,0.3138,-0.000977,-0.52,-0.75,2012-01-22,oK1jWA5,"ts_skewness(vec_avg(fnd14_lts_csh_csh_opr_act_ttm_2),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
150,-2653440,20000000,521,508,0.2218,-0.0753,0.2688,-0.000679,-0.56,-0.96,2012-01-22,RpJx7xe,"ts_skewness(vec_avg(fnd14_latestfy_incmst_net_income_qtr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
151,-6400626,20000000,34,37,0.1062,-0.1806,1.1833,-0.003403,-0.6,-0.5,2012-01-22,RpJx1Qg,"ts_skewness(vec_avg(fnd14_curr_auditor_name),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
152,-7696602,20000000,0,0,0.0372,-0.3833,2.3823,-0.020591,-0.61,-0.35,2012-01-22,EwZnv2L,"ts_skewness(vec_avg(fnd14_loc_state_country),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
153,-7696602,20000000,0,0,0.0372,-0.3833,2.3823,-0.020591,-0.61,-0.35,2012-01-22,oK1jK6E,"ts_skewness(vec_avg(fnd14_bus_state_country),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
154,-3209075,20000000,477,569,0.1496,-0.0911,0.4671,-0.001217,-0.62,-0.79,2012-01-22,JpVaGNm,"ts_skewness(vec_avg(fnd14_hiwater_incmst_revenue_qtr),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
155,-2392275,20000000,691,873,0.2216,-0.0675,0.2802,-0.000609,-0.62,-1.13,2012-01-22,oK1jgn2,"ts_skewness(vec_avg(fnd14_egc_form_fkey),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
156,-4099142,20000000,3,3,0.0612,-0.139,0.4545,-0.004544,-0.63,-0.6,2012-01-22,ro1alj3,"ts_skewness(vec_avg(fnd14_company_key),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
157,-4576474,20000000,0,0,0.0098,-0.1395,0.7588,-0.028603,-0.63,-0.6,2012-01-22,xxK7d7q,"ts_skewness(vec_avg(fnd14_grd_mrt_pmc),120)",FAIL,PASS,FAIL,FAIL,PASS,FAIL,WARNING,WARNING
