pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
8357214,20000000,264,221,0.5736,0.0807,0.16,0.000281,0.27,0.72,2012-01-22,7wxM6K8,"ts_zscore(fnd6_int_eqrtq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
8393971,20000000,254,217,0.5984,0.0811,0.397,0.000271,0.23,0.62,2012-01-22,ZpjMQqd,"ts_zscore(fnd6_int_teqq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
2144919,20000000,0,0,0.0099,0.0257,0.1492,0.005196,0.13,0.28,2012-01-22,vL562J3,"ts_zscore(fnd6_idesindqus_curcd,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,FAIL,PASS
4534546,20000000,216,188,0.5535,0.0438,0.3966,0.000158,0.08,0.28,2012-01-22,oKnra6v,"ts_zscore(fnd6_newqint_actq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1864972,20000000,206,198,0.5346,0.018,0.2915,6.7e-05,0.03,0.16,2012-01-22,bLNnOPm,"ts_zscore(fnd6_int_acoxq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
1920604,20000000,218,210,0.5399,0.0185,0.2742,6.9e-05,0.03,0.17,2012-01-22,k3nONXl,"ts_zscore(fnd6_newqint_acoq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
911863,20000000,212,205,0.5342,0.0088,0.6951,3.3e-05,0.01,0.05,2012-01-22,OpnV8mq,"ts_zscore(fnd6_int_ibmiiq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
803835,20000000,254,246,0.5381,0.0078,0.2054,2.9e-05,0.01,0.08,2012-01-22,QangvmQ,"ts_zscore(fnd6_int_lcoxq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1125028,20000000,222,205,0.5537,0.0109,0.5666,3.9e-05,0.01,0.08,2012-01-22,adNwK62,"ts_zscore(fnd6_int_rectrq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
1623878,20000000,138,128,0.562,0.0157,0.5661,5.6e-05,0.01,0.07,2012-01-22,OpnV85q,"ts_zscore(fnd6_int_accdq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
336096,20000000,180,152,0.5465,0.0032,0.6267,1.2e-05,0.0,0.02,2012-01-22,p6nZdmX,"ts_zscore(fnd6_int_mibtq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-518838,20000000,53,49,0.5665,-0.005,0.4789,-1.8e-05,-0.0,-0.02,2012-01-22,m8q1opx,"ts_zscore(fnd6_int_sctq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
498640,20000000,180,152,0.5464,0.0048,0.6128,1.8e-05,0.0,0.03,2012-01-22,p6nZdQb,"ts_zscore(fnd6_int_mibnq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
26810,20000000,197,193,0.5428,0.0003,0.6759,1e-06,0.0,0.0,2012-01-22,LpnrZle,"ts_zscore(fnd6_int_eroq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
313212,20000000,171,160,0.5338,0.003,0.5718,1.1e-05,0.0,0.02,2012-01-22,Npn3VjL,"ts_zscore(fnd6_int_ivaoq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-3283480,20000000,191,159,0.5699,-0.0317,1.0316,-0.000111,-0.05,-0.2,2012-01-22,9w9mlVr,"ts_zscore(fnd6_newqint_ancq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-5420525,20000000,132,127,0.5287,-0.0526,0.7671,-0.000199,-0.07,-0.23,2012-01-22,07A6Y91,"ts_zscore(fnd6_int_txdbq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-6310783,20000000,199,187,0.5398,-0.0609,1.003,-0.000226,-0.14,-0.42,2012-01-22,WpN0OKO,"ts_zscore(fnd6_int_lltq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-3098374,20000000,0,0,0.0115,-0.0318,0.3679,-0.005531,-0.16,-0.31,2012-01-22,YpNJMkl,"ts_zscore(fnd6_idesindqint_curcd,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-9816976,20000000,192,204,0.5443,-0.0948,1.2193,-0.000348,-0.27,-0.65,2012-01-22,6wRJKqp,"ts_zscore(fnd6_int_intanq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
14726676,20000000,205,175,0.5895,0.1422,0.3581,0.000482,0.44,0.89,2012-01-22,7wxM3Gx,"ts_zscore(fnd6_newqint_ceqq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
13820087,20000000,215,196,0.5498,0.1335,0.2608,0.000485,0.44,0.89,2012-01-22,ngnQq8q,"ts_zscore(fnd6_newqint_lctq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
7732487,20000000,284,263,0.5328,0.0747,0.2356,0.00028,0.31,0.83,2012-01-22,RpNK95b,"ts_zscore(fnd6_newqint_cheq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
8147055,20000000,254,222,0.5518,0.0787,0.2556,0.000285,0.25,0.65,2012-01-22,KbnQzmx,"ts_zscore(fnd6_newqint_ltq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
8843394,20000000,230,222,0.5369,0.0854,0.4358,0.000318,0.22,0.55,2012-01-22,m8q1QOE,"ts_zscore(fnd6_newqint_piq,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
8725242,20000000,207,185,0.5487,0.0843,0.3463,0.000307,0.22,0.56,2012-01-22,ZpjMzm3,"ts_zscore(fnd6_newqint_ltmibq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
8741138,20000000,229,223,0.5351,0.0844,0.6922,0.000315,0.19,0.49,2012-01-22,xxeWGdg,"ts_zscore(fnd6_newqint_ibq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5822725,20000000,236,220,0.5426,0.0562,0.1874,0.000207,0.19,0.59,2012-01-22,bLNnJaM,"ts_zscore(fnd6_newqint_apq,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
