pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
4561386,20000000,520,591,0.4119,0.044,0.1794,0.000214,0.12,0.37,2012-01-22,Jpn1Go2,"ts_zscore(fnd45_us_lda_bigram_pr,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
65018,20000000,1023,1075,0.5291,0.0006,0.0722,2e-06,0.0,0.03,2012-01-22,WpN0ApQ,"ts_zscore(fnd45_us_readability_executives,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
166375,20000000,967,948,0.5378,0.0016,0.101,6e-06,0.0,0.08,2012-01-22,Jpn1G3x,"ts_zscore(fnd45_us_sentiment_chanage_othr,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
76694,20000000,1035,1057,0.5379,0.0007,0.0774,3e-06,0.0,0.03,2012-01-22,XpkeoNa,"ts_zscore(fnd45_us_sentiment_lm2_net_pr,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
82626,20000000,1044,1053,0.5487,0.0008,0.0622,3e-06,0.0,0.04,2012-01-22,WpN0PVj,"ts_zscore(fnd45_us_sentiment_lm2_net_qa,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
-263637,20000000,1042,1053,0.5424,-0.0025,0.0805,-9e-06,-0.01,-0.12,2012-01-22,QangGQp,"ts_zscore(fnd45_us_numeric_perct_qa,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
-367741,20000000,1081,1102,0.4937,-0.0036,0.0791,-1.4e-05,-0.01,-0.16,2012-01-22,VpX5GMY,"ts_zscore(fnd45_us_score,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
-448042,20000000,1072,1013,0.5122,-0.0043,0.1274,-1.7e-05,-0.02,-0.18,2012-01-22,z950NW8,"ts_zscore(fnd45_us_numeric_perct_pr,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
-510008,20000000,1050,1046,0.5509,-0.0049,0.1155,-1.8e-05,-0.02,-0.24,2012-01-22,m8q1gV5,"ts_zscore(fnd45_us_sentiment_vader_net_qa,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
-1411131,20000000,1051,1042,0.5389,-0.0136,0.147,-5.1e-05,-0.1,-0.64,2012-01-22,Gwnxde3,"ts_zscore(fnd45_us_sentiment_vader_net_pr,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
-5029923,20000000,1194,1151,0.5852,-0.1261,0.5819,-0.000431,-0.61,-1.31,2012-01-22,ngnQNex,"ts_zscore(fnd45_us_mktcap,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
-7701663,20000000,854,839,0.6437,-0.1931,0.8261,-0.0006,-1.0,-1.83,2012-01-22,37E5p1X,"ts_zscore(fnd45_mktcap,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
