pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
7530496,20000000,0,0,0.0843,0.1017,0.4858,0.002413,0.38,0.42,2012-01-22,dxmb1kx,"ts_zscore(anl39_curperiodtype,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
475878,20000000,0,0,0.0435,0.0063,0.541,0.000289,0.01,0.04,2012-01-22,MpXa0mr,"ts_zscore(anl39_xrefmap,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS
-5938954,20000000,123,117,0.6084,-0.0752,1.2131,-0.000247,-0.18,-0.51,2012-01-22,roLOdEm,"ts_zscore(anl39_cursharesoutstanding,12)",FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS
0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,ZpxbAYQ,"ts_zscore(anl39_curfyearend,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS
0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,oKvLWmn,"ts_zscore(anl39_curfperiodend,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS
