pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
5630327,20000000,278,217,0.5127,0.0544,0.2354,0.000212,0.2,0.62,2012-01-22,YpNOoPA,"ts_zscore(fnd7_ointfund_21xspe,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
5371993,20000000,276,216,0.5125,0.0519,0.2591,0.000202,0.19,0.59,2012-01-22,robwMK3,"ts_zscore(fnd7_ointfund_21fspe,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3392791,20000000,288,215,0.5232,0.0328,0.2951,0.000125,0.1,0.38,2012-01-22,KbnpMPx,"ts_zscore(fnd7_ointfund_21speo,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3065545,20000000,270,243,0.5112,0.0296,0.2312,0.000116,0.09,0.37,2012-01-22,5wL11Pn,"ts_zscore(fnd7_ointfund_qbi,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3106218,20000000,246,183,0.5208,0.03,0.3154,0.000115,0.08,0.32,2012-01-22,bLNggeN,"ts_zscore(fnd7_ointfund_qcbi,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3143133,20000000,287,214,0.5224,0.0304,0.3169,0.000116,0.08,0.35,2012-01-22,dxn6r2J,"ts_zscore(fnd7_ointfund_21fpeo,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
4412827,20000000,58,29,0.2239,0.0428,1.0718,0.000382,0.05,0.12,2012-01-22,k3nM6qP,"ts_zscore(fnd7_ointfund_q21hsc,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
1292468,20000000,8,8,0.0986,0.0125,1.2967,0.000254,0.02,0.05,2012-01-22,xxeo7Zq,"ts_zscore(fnd7_ointfund_qdalid,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1652977,20000000,145,142,0.459,0.016,0.2735,7e-05,0.02,0.13,2012-01-22,8zOZ0gW,"ts_zscore(fnd7_ointfund_qcdxt,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1573949,20000000,118,108,0.5116,0.0152,0.413,5.9e-05,0.02,0.1,2012-01-22,z95E7xE,"ts_zscore(fnd7_ointfund_qctidxt,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
449854,20000000,50,51,0.439,0.0043,0.2081,2e-05,0.0,0.04,2012-01-22,Zpj98k1,"ts_zscore(fnd7_ointfund_qcbuse,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
41958,20000000,57,41,0.208,0.0004,0.8114,4e-06,0.0,0.0,2012-01-22,ngn51ml,"ts_zscore(fnd7_ointfund_qdfhsc,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1050046,20000000,40,39,0.3916,-0.0101,0.6648,-5.2e-05,-0.01,-0.07,2012-01-22,9w93eKq,"ts_zscore(fnd7_ointfund_qcodix,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-3796722,20000000,15,14,0.4684,-0.0367,0.6644,-0.000157,-0.07,-0.24,2012-01-22,k3nMMzk,"ts_zscore(fnd7_ointfund_qbim,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2999341,20000000,218,156,0.5696,-0.029,0.4484,-0.000102,-0.07,-0.29,2012-01-22,27vxor5,"ts_zscore(fnd7_ointfund_qagsx,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-2386579,20000000,140,100,0.4384,-0.023,0.3085,-0.000105,-0.07,-0.31,2012-01-22,YpNOVwq,"ts_zscore(fnd7_ointfund_qcktsrp,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-5192173,20000000,122,77,0.5014,-0.0501,0.6297,-0.0002,-0.15,-0.46,2012-01-22,z95nv2K,"ts_zscore(fnd7_ointfund_qdpxt,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-6118258,20000000,82,84,0.3985,-0.0591,0.6186,-0.000297,-0.22,-0.57,2012-01-22,NpnGEd7,"ts_zscore(fnd7_ointfund_qcqa,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-7728685,20000000,234,161,0.6032,-0.0746,0.8035,-0.000247,-0.31,-0.89,2012-01-22,VpXLrEJ,"ts_zscore(fnd7_ointfund_qcpd,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-9422429,20000000,177,147,0.4892,-0.091,1.0514,-0.000372,-0.43,-0.99,2012-01-22,m8qNGJ1,"ts_zscore(fnd7_ointfund_qcld,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
10403803,20000000,43,49,0.0959,0.1008,0.529,0.002103,0.4,0.45,2012-01-22,Ppnma2E,"ts_zscore(fnd7_ointfund_qhcvni,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
4911692,20000000,229,193,0.528,0.0474,0.3014,0.00018,0.16,0.52,2012-01-22,8zOxbgl,"ts_zscore(fnd7_ointfund_qer,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
4450891,20000000,272,242,0.4936,0.043,0.24,0.000174,0.15,0.5,2012-01-22,xxep8vn,"ts_zscore(fnd7_ointfund_qifspe,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
4012068,20000000,259,233,0.5059,0.0387,0.2278,0.000153,0.13,0.48,2012-01-22,Npnl9qw,"ts_zscore(fnd7_ointfund_qiimbi,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3489483,20000000,159,273,0.5157,0.0337,0.156,0.000131,0.11,0.42,2012-01-22,37EvwbN,"ts_zscore(fnd7_ointfund_qfcnvi,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
3072409,20000000,229,216,0.4607,0.0297,0.2136,0.000129,0.11,0.43,2012-01-22,LpnYaQm,"ts_zscore(fnd7_ointfund_qhcehc,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
3046273,20000000,270,243,0.5129,0.0294,0.2349,0.000115,0.09,0.37,2012-01-22,ngn5VYw,"ts_zscore(fnd7_ointfund_qin,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1286368,20000000,153,172,0.4706,0.0124,0.2377,5.3e-05,0.02,0.15,2012-01-22,adN9Zp1,"ts_zscore(fnd7_ointfund_qhccer,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
666617,20000000,219,222,0.4624,0.0064,0.1914,2.8e-05,0.01,0.09,2012-01-22,robMgxa,"ts_zscore(fnd7_ointfund_qhcoloa,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
159519,20000000,101,88,0.5219,0.0015,0.3292,6e-06,0.0,0.02,2012-01-22,RpNwQVo,"ts_zscore(fnd7_ointfund_qhcvi,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
