pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
2353192,20000000,528,501,1.2704,0.0227,0.2765,3.6e-05,0.03,0.21,2012-01-22,QaQkXk5,"ts_zscore(opt4_shareoutstanding,12)",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
2577456,20000000,1512,1461,0.7847,0.0249,0.516,6.3e-05,0.01,0.08,2012-01-22,27Kz8Vw,"ts_zscore(opt4_bid,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
615539,20000000,1457,1979,0.8255,0.0059,1.2885,1.4e-05,0.0,0.02,2012-01-22,roWgvZj,"ts_zscore(opt4_secpr_volume,12)",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1908959,20000000,1707,1666,0.7102,-0.0184,0.7272,-5.2e-05,-0.01,-0.07,2012-01-22,vLmMwWz,"ts_zscore(opt4_ask,12)",FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2343784,20000000,1714,1659,0.726,-0.0226,0.6637,-6.2e-05,-0.01,-0.08,2012-01-22,Op9PYV1,"ts_zscore(opt4_close,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-2931423,20000000,1685,1738,0.9833,-0.0283,1.263,-5.8e-05,-0.02,-0.1,2012-01-22,GwoApd5,"ts_zscore(opt4_return,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-3138659,20000000,384,364,0.7399,-0.0303,0.7985,-8.2e-05,-0.04,-0.21,2012-01-22,vLmMwXG,"ts_zscore(opt4_adjfactor,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
-10055160,20000000,1793,1746,0.6604,-0.0971,1.3449,-0.000294,-0.13,-0.34,2012-01-22,dxQVXOv,"ts_zscore(opt4_open,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-9785693,20000000,93,117,0.7915,-0.0945,1.2834,-0.000239,-0.16,-0.46,2012-01-22,6wEV857,"ts_zscore(opt4_retfactor,12)",FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS
