pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
66510,20000000,3139,2996,0.5231,0.0016,0.2021,6.00E-06,0,0.02,2012/1/22,27Zoe1Y,"ts_zscore(fnd44_working_capital_accruals,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-173266,20000000,3532,3448,0.5514,-0.0041,0.089,-1.50E-05,-0.01,-0.1,2012/1/22,17mA0Ym,"ts_zscore(fnd44_yoon_wc_accruals,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-681869,20000000,2771,2901,0.5111,-0.0161,0.3166,-6.30E-05,-0.03,-0.18,2012/1/22,WpX2YEQ,"ts_zscore(fnd44_fscore,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-492191,20000000,3309,3240,0.5312,-0.0116,0.1401,-4.40E-05,-0.04,-0.25,2012/1/22,376v0mz,"ts_zscore(fnd44_modified_jones_cf_accruals,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-925218,20000000,3187,3053,0.5011,-0.0219,0.3863,-8.70E-05,-0.05,-0.25,2012/1/22,jZwKakk,"ts_zscore(fnd44_mscore,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-828643,20000000,3311,3258,0.5325,-0.0196,0.1443,-7.40E-05,-0.08,-0.44,2012/1/22,Gw85m55,"ts_zscore(fnd44_jones_cf_accruals,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-1622454,20000000,2709,2594,0.576,-0.0383,0.4077,-0.000133,-0.16,-0.61,2012/1/22,EwaPQ9m,"ts_zscore(fnd44_factor_benford,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1090475,20000000,3671,3725,0.5847,-0.0258,0.1207,-8.80E-05,-0.22,-1.05,2012/1/22,9w6OGz2,"ts_zscore(fnd44_probability_restatement,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-951637,20000000,2233,2228,0.6402,-0.0225,0.1243,-7.00E-05,-0.22,-1.18,2012/1/22,JpXJ3jl,"ts_zscore(fnd44_probability_restatement_global,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1242992,20000000,3713,3754,0.5943,-0.0294,0.1508,-9.90E-05,-0.26,-1.15,2012/1/22,Mp8NVj6,"ts_zscore(fnd44_score,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-4074564,20000000,2823,2790,0.5173,-0.0963,0.5218,-0.000372,-0.42,-0.97,2012/1/22,qAzJ7Qv,"ts_zscore(fnd44_cashflow_accruals,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-5576626,20000000,2840,2815,0.5205,-0.1318,0.6515,-0.000506,-0.65,-1.29,2012/1/22,z9onAv8,"ts_zscore(fnd44_perc_accruals,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
