pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
14204317,20000000,3385,3550,0.6454,0.1372,0.0685,0.000425,0.89,1.93,2012/1/22,rorKxdm,"ts_zscore(mdl53_jc6_2year,12)",PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS
13237939,20000000,3351,3583,0.6465,0.1278,0.0638,0.000395,0.8,1.8,2012/1/22,z9JqV0d,"ts_zscore(mdl53_jc6_1year,12)",PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS
12653374,20000000,3394,3540,0.6432,0.1222,0.0729,0.00038,0.75,1.73,2012/1/22,RpkRgEj,"ts_zscore(mdl53_jc6_3year,12)",PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS
9722155,20000000,3429,3505,0.6342,0.0939,0.0842,0.000296,0.54,1.4,2012/1/22,oK9mdE2,"ts_zscore(mdl53_jc6_4year,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
8187587,20000000,3324,3611,0.6474,0.0791,0.0517,0.000244,0.48,1.37,2012/1/22,p61wLdb,"ts_zscore(mdl53_jc6_6month,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
6540150,20000000,3435,3496,0.6272,0.0632,0.0955,0.000201,0.31,0.99,2012/1/22,KbwP1JN,"ts_zscore(mdl53_jc6_5year,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
5262043,20000000,3465,3464,0.628,0.0508,0.1117,0.000162,0.26,0.92,2012/1/22,37nqN5Q,"ts_zscore(mdl53_jc6_10year,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
5006700,20000000,3496,3436,0.6274,0.0483,0.0927,0.000154,0.25,0.89,2012/1/22,Qa5ZPLr,"ts_zscore(mdl53_jc6_7year,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
4089733,20000000,3283,3650,0.645,0.0395,0.0941,0.000122,0.2,0.8,2012/1/22,p61wLvv,"ts_zscore(mdl53_jc6_3month,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1955139,20000000,3271,3662,0.6431,0.0189,0.1548,5.90E-05,0.07,0.41,2012/1/22,XpYg0e1,"ts_zscore(mdl53_jc6_1month,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
