pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,units
0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,vLJoObb,"ts_zscore(top3000,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,WARNING
0,0,0,0,0.0,0.0,0.0,0.0,,0.0,2012-01-22,Np52eEL,"ts_zscore(minvol1m,12)",FAIL,PASS,ERROR,FAIL,ERROR,FAIL,PASS,WARNING
