pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
1502448,20000000,0,0,0.1667,3.1301,0.0292,0.037561,35.23,8.13,2012/1/22,17a8qOW,"ts_zscore(fnd23_intfvalld1_ltov,12)",FAIL,PASS,,PASS,PASS,ERROR,PASS,PASS
30993240,20000000,147,133,0.5593,0.2993,0.2388,0.00107,1.1,1.5,2012/1/22,Yp2l55q,"ts_zscore(fnd23_annfvmfm_olto,12)",FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS
30993240,20000000,147,133,0.5593,0.2993,0.2388,0.00107,1.1,1.5,2012/1/22,17aGpbM,"ts_zscore(fnd23_annfvmfm2_olto,12)",FAIL,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS
40855001,20000000,0,0,0.2273,0.4035,1.2414,0.00355,0.97,0.73,2012/1/22,ngZGabd,"ts_zscore(fnd23_intfvalld1_gips,12)",FAIL,PASS,,FAIL,FAIL,PASS,PASS,PASS
26515985,20000000,0,0,0.1939,0.2606,0.7199,0.002687,0.77,0.66,2012/1/22,vLe77RA,"ts_zscore(fnd23_intfvalld1_krbm,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
22798254,20000000,0,0,0.1432,0.2236,0.7112,0.003123,0.75,0.6,2012/1/22,MpKEbNn,"ts_zscore(fnd23_intfvalld1_rlbm,12)",FAIL,PASS,,FAIL,FAIL,PASS,PASS,PASS
28035097,20000000,0,0,0.1718,0.2738,0.7819,0.003187,0.73,0.58,2012/1/22,lVQnROx,"ts_zscore(fnd23_intfvalld1_qdbs,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
10186018,20000000,562,535,0.5426,0.0984,0.0943,0.000363,0.63,1.48,2012/1/22,MpbznAn,"ts_zscore(fnd23_intfvmfm2_tibs,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
35842687,20000000,1,1,0.3627,0.3461,0.7428,0.001908,0.62,0.63,2012/1/22,MpKE5Ro,"ts_zscore(fnd23_intfvalld1_qbbs,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
751929,20000000,0,0,0.0504,0.0676,0.0668,0.002682,0.6,0.82,2012/1/22,MpKEl96,"ts_zscore(fnd23_intfvalld1_pbnv,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
16840492,20000000,163,170,0.5783,0.1626,0.2338,0.000562,0.57,1.08,2012/1/22,KbXVLmN,"ts_zscore(fnd23_annfvmfm2_fcos,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
9108213,20000000,592,568,0.5414,0.088,0.1026,0.000325,0.55,1.37,2012/1/22,Lpnzr0M,"ts_zscore(fnd23_intfvmfm2_inds,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
9108213,20000000,592,568,0.5414,0.088,0.1026,0.000325,0.55,1.37,2012/1/22,XpkzZGz,"ts_zscore(fnd23_intfvmfm_inds,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
14311093,20000000,0,0,0.076,0.1407,0.441,0.003702,0.54,0.51,2012/1/22,qAnYqbZ,"ts_zscore(fnd23_intfvalld1_zlbm,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
16648843,20000000,150,135,0.5686,0.1608,0.1629,0.000565,0.53,0.99,2012/1/22,37aGA56,"ts_zscore(fnd23_annfvmfm2_inds,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
16648843,20000000,150,135,0.5686,0.1608,0.1629,0.000565,0.53,0.99,2012/1/22,KbXVO71,"ts_zscore(fnd23_annfvmfm_inds,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
10582533,20000000,550,502,0.5688,0.1022,0.1224,0.000359,0.51,1.2,2012/1/22,RpNzKGe,"ts_zscore(fnd23_intfvmfm2_olto,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
10582533,20000000,550,502,0.5688,0.1022,0.1224,0.000359,0.51,1.2,2012/1/22,9w9M5vK,"ts_zscore(fnd23_intfvmfm_olto,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
2304840,20000000,0,0,0.0048,0.046,0.0566,0.019207,0.5,0.83,2012/1/22,wR53PAp,"ts_zscore(fnd23_intfvalld1_totv,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,FAIL,PASS
32905028,20000000,5,4,0.364,0.3227,0.6663,0.001773,0.49,0.52,2012/1/22,Qa2xnpG,"ts_zscore(fnd23_intfvalld1_rbom,12)",FAIL,PASS,,FAIL,FAIL,FAIL,PASS,PASS
18644727,20000000,143,128,0.5714,0.18,0.3213,0.00063,0.47,0.83,2012/1/22,wRnN56x,"ts_zscore(fnd23_annfvmfm2_cnin,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
8536484,20000000,546,583,0.5526,0.0824,0.1521,0.000298,0.47,1.21,2012/1/22,m8q71E5,"ts_zscore(fnd23_intfvmfm2_fcos,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
8007009,20000000,573,561,0.5421,0.0773,0.0883,0.000285,0.46,1.21,2012/1/22,JpgAMOm,"ts_zscore(fnd23_intfvalld1_mtps,12)",FAIL,PASS,,FAIL,FAIL,FAIL,PASS,PASS
7680498,20000000,0,0,0.0245,0.0827,0.1878,0.006765,0.46,0.56,2012/1/22,bLo0eLr,"ts_zscore(fnd23_intfvalld1_ljhm,12)",FAIL,PASS,,FAIL,FAIL,ERROR,PASS,PASS
8007009,20000000,573,561,0.5421,0.0773,0.0883,0.000285,0.46,1.21,2012/1/22,oKnG5bk,"ts_zscore(fnd23_intfvmalld1_mtps,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
19304030,20000000,134,120,0.5744,0.1864,0.4014,0.000649,0.45,0.79,2012/1/22,KbXVObk,"ts_zscore(fnd23_annfvmfm2_teno,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
18713405,20000000,0,0,0.2365,0.1807,0.7611,0.001528,0.45,0.52,2012/1/22,8za0qOz,"ts_zscore(fnd23_intfvalld1_olbs,12)",FAIL,PASS,,FAIL,FAIL,PASS,PASS,PASS
19579317,20000000,15,12,0.4326,0.1894,0.3303,0.000875,0.44,0.67,2012/1/22,GwM2JMo,"ts_zscore(fnd23_intfvalld1_offh,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
18530874,20000000,2,2,0.2952,0.1888,0.9277,0.001279,0.42,0.52,2012/1/22,GwM2a83,"ts_zscore(fnd23_intfvalld1_nirv,12)",FAIL,PASS,,FAIL,FAIL,FAIL,PASS,PASS
15576649,20000000,2,2,0.2249,0.1514,0.4428,0.001346,0.41,0.5,2012/1/22,Yp2VZpq,"ts_zscore(fnd23_intfvalld1_pace,12)",FAIL,PASS,,FAIL,FAIL,FAIL,PASS,PASS
13930097,20000000,143,126,0.5649,0.1345,0.2217,0.000476,0.39,0.8,2012/1/22,17aGgrm,"ts_zscore(fnd23_annfvmfm2_iscs,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
10072257,20000000,0,0,0.1256,0.0998,0.4222,0.00159,0.38,0.43,2012/1/22,Qa2RY6w,"ts_zscore(fnd23_intfvalld1_gehm,12)",FAIL,PASS,,FAIL,FAIL,ERROR,PASS,PASS
7559955,20000000,0,0,0.0444,0.0753,0.2009,0.003389,0.36,0.47,2012/1/22,xxP79zb,"ts_zscore(fnd23_intfvalld1_dpgc,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
15926644,20000000,143,120,0.6148,0.1538,0.4249,0.0005,0.35,0.69,2012/1/22,xxPlYNn,"ts_zscore(fnd23_annfvmfm_tota,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
15926644,20000000,143,120,0.6148,0.1538,0.4249,0.0005,0.35,0.69,2012/1/22,wRnNYR2,"ts_zscore(fnd23_annfvmfm2_tota,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
18701084,20000000,20,20,0.457,0.1806,0.6771,0.00079,0.35,0.55,2012/1/22,lV7EmlN,"ts_zscore(fnd23_intfvalld1_verr,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
18701084,20000000,20,20,0.457,0.1806,0.6771,0.00079,0.35,0.55,2012/1/22,AwnzLaR,"ts_zscore(fnd23_intfvmalld1_verr,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
8561058,20000000,196,190,0.5514,0.0827,0.1547,0.0003,0.34,0.89,2012/1/22,k31plVd,"ts_zscore(fnd23_intfvalld1_ctcv,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
12825170,20000000,1,1,0.2324,0.1255,0.7109,0.00108,0.34,0.46,2012/1/22,5wam0wn,"ts_zscore(fnd23_intfvalld1_oahm,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
15570259,20000000,3,3,0.3266,0.1527,0.5283,0.000935,0.34,0.5,2012/1/22,NpnJmXo,"ts_zscore(fnd23_intfvalld1_zbim,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
8561058,20000000,196,190,0.5514,0.0827,0.1547,0.0003,0.34,0.89,2012/1/22,YpNE5oM,"ts_zscore(fnd23_intfvmalld1_ctcv,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5921823,20000000,0,0,0.0276,0.0585,0.4333,0.004237,0.33,0.48,2012/1/22,k316Mqg,"ts_zscore(fnd23_intfvalld1_aebm,12)",FAIL,PASS,,FAIL,FAIL,PASS,PASS,PASS
23111320,20000000,2,2,0.3481,0.2251,1.2233,0.001293,0.33,0.41,2012/1/22,OpbddQY,"ts_zscore(fnd23_intfvalld1_ksps,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
14455726,20000000,91,94,0.5238,0.1396,0.3625,0.000533,0.32,0.62,2012/1/22,p6VWNXg,"ts_zscore(fnd23_annfvmfm2_ltio,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5566591,20000000,0,0,0.0671,0.0615,0.3142,0.001833,0.32,0.45,2012/1/22,Rp2Op6b,"ts_zscore(fnd23_intfvalld1_rtxv,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
6416211,20000000,569,546,0.5393,0.062,0.1162,0.00023,0.32,0.95,2012/1/22,m8q0PlK,"ts_zscore(fnd23_intfvalld1_xatt,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
6416211,20000000,569,546,0.5393,0.062,0.1162,0.00023,0.32,0.95,2012/1/22,VpXzZPY,"ts_zscore(fnd23_intfvmalld1_xatt,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
13828898,20000000,129,107,0.5821,0.1335,0.41,0.000459,0.31,0.65,2012/1/22,xxPle0w,"ts_zscore(fnd23_annfvmfm2_acta,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
7517651,20000000,0,0,0.0531,0.0764,0.3802,0.002879,0.31,0.4,2012/1/22,adAmaJR,"ts_zscore(fnd23_intfvalld1_gghm,12)",FAIL,PASS,,FAIL,FAIL,ERROR,PASS,PASS
10641164,20000000,161,168,0.5694,0.1028,0.3072,0.000361,0.31,0.74,2012/1/22,k31pM7k,"ts_zscore(fnd23_intfvalld1_iwga,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5670521,20000000,632,592,0.5398,0.0548,0.1808,0.000203,0.31,0.97,2012/1/22,eOnNzbd,"ts_zscore(fnd23_intfvalld1_taiv,12)",FAIL,PASS,,FAIL,FAIL,FAIL,PASS,PASS
8577149,20000000,224,211,0.5559,0.0828,0.2434,0.000298,0.31,0.81,2012/1/22,Zpjg96x,"ts_zscore(fnd23_intfvalld1_vacl,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
10641164,20000000,161,168,0.5694,0.1028,0.3072,0.000361,0.31,0.74,2012/1/22,m8q7Pq6,"ts_zscore(fnd23_intfvmalld1_iwga,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5670521,20000000,632,592,0.5398,0.0548,0.1808,0.000203,0.31,0.97,2012/1/22,z95GkoE,"ts_zscore(fnd23_intfvmalld1_taiv,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
8577149,20000000,224,211,0.5559,0.0828,0.2434,0.000298,0.31,0.81,2012/1/22,m8q7oXW,"ts_zscore(fnd23_intfvmalld1_vacl,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
19818198,20000000,1,1,0.2881,0.1914,1.2328,0.001328,0.3,0.37,2012/1/22,wRndVnY,"ts_zscore(fnd23_intfvalld1_ohbs,12)",FAIL,PASS,,FAIL,FAIL,FAIL,PASS,PASS
6027846,20000000,0,0,0.0318,0.0618,0.2344,0.003884,0.29,0.41,2012/1/22,27aVJkb,"ts_zscore(fnd23_intfvalld1_ekim,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
256927,20000000,0,0,0.0211,0.0225,0.0229,0.002132,0.28,0.67,2012/1/22,z9Png0K,"ts_zscore(fnd23_intfvalld1_3spsd,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
9734866,20000000,163,172,0.5625,0.094,0.2349,0.000334,0.28,0.69,2012/1/22,Yp239VW,"ts_zscore(fnd23_intfvalld1_iwgv,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
5639546,20000000,575,564,0.541,0.0545,0.1395,0.000201,0.28,0.89,2012/1/22,27ag87w,"ts_zscore(fnd23_intfvalld1_mpns,12)",FAIL,PASS,,FAIL,FAIL,FAIL,PASS,PASS
6996398,20000000,550,502,0.5672,0.0676,0.1253,0.000238,0.28,0.8,2012/1/22,7wa5OJO,"ts_zscore(fnd23_intfvalld1_olto,12)",FAIL,PASS,,FAIL,FAIL,PASS,PASS,PASS
6272228,20000000,428,423,0.5468,0.0606,0.2053,0.000222,0.28,0.85,2012/1/22,Qa2xq85,"ts_zscore(fnd23_intfvalld1_ppgs,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
15053502,20000000,22,22,0.4218,0.1454,0.9429,0.000689,0.28,0.47,2012/1/22,17oO2RQ,"ts_zscore(fnd23_intfvalld1_trsr,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5639546,20000000,575,564,0.541,0.0545,0.1395,0.000201,0.28,0.89,2012/1/22,JpnzEAn,"ts_zscore(fnd23_intfvmalld1_mpns,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
6996398,20000000,550,502,0.5672,0.0676,0.1253,0.000238,0.28,0.8,2012/1/22,EwqzYAP,"ts_zscore(fnd23_intfvmalld1_olto,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
6272228,20000000,428,423,0.5468,0.0606,0.2053,0.000222,0.28,0.85,2012/1/22,GwnzMJO,"ts_zscore(fnd23_intfvmalld1_ppgs,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
15053502,20000000,22,22,0.4218,0.1454,0.9429,0.000689,0.28,0.47,2012/1/22,37EPoYz,"ts_zscore(fnd23_intfvmalld1_trsr,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
4426015,20000000,0,0,0.0783,0.0585,0.1448,0.001494,0.27,0.4,2012/1/22,vLeXZOz,"ts_zscore(fnd23_intfvalld1_4spdd,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
7835644,20000000,224,211,0.5581,0.0757,0.2497,0.000271,0.27,0.72,2012/1/22,Qa2RMVM,"ts_zscore(fnd23_intfvalld1_cdav,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
15265735,20000000,8,9,0.4057,0.1474,0.5914,0.000727,0.27,0.45,2012/1/22,NpgEkLe,"ts_zscore(fnd23_intfvalld1_dbtm,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
20197119,20000000,1,1,0.3545,0.195,1.1731,0.0011,0.27,0.37,2012/1/22,ngZGPdE,"ts_zscore(fnd23_intfvalld1_gdbs,12)",FAIL,PASS,,FAIL,FAIL,PASS,PASS,PASS
6361597,20000000,578,494,0.5707,0.0614,0.1531,0.000215,0.27,0.81,2012/1/22,lVQn6J5,"ts_zscore(fnd23_intfvalld1_pbts,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5145721,20000000,645,606,0.5374,0.0497,0.1148,0.000185,0.27,0.9,2012/1/22,KbnvbY8,"ts_zscore(fnd23_intfvalld1_sebv,12)",FAIL,PASS,,FAIL,FAIL,FAIL,PASS,PASS
7835644,20000000,224,211,0.5581,0.0757,0.2497,0.000271,0.27,0.72,2012/1/22,7wxv1JO,"ts_zscore(fnd23_intfvmalld1_cdav,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
6361597,20000000,578,494,0.5707,0.0614,0.1531,0.000215,0.27,0.81,2012/1/22,Zpjzlnj,"ts_zscore(fnd23_intfvmalld1_pbts,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5145721,20000000,645,606,0.5374,0.0497,0.1148,0.000185,0.27,0.9,2012/1/22,z95G9E8,"ts_zscore(fnd23_intfvmalld1_sebv,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5586469,20000000,548,550,0.5419,0.0539,0.0925,0.000199,0.26,0.84,2012/1/22,dxEMpvJ,"ts_zscore(fnd23_intfvalld1_nins,12)",FAIL,PASS,,FAIL,FAIL,FAIL,PASS,PASS
5386025,20000000,525,521,0.5432,0.052,0.1727,0.000191,0.26,0.83,2012/1/22,vLeEzq3,"ts_zscore(fnd23_intfvalld1_ppos,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
4930591,20000000,650,614,0.5359,0.0476,0.1231,0.000178,0.26,0.87,2012/1/22,wR53RwQ,"ts_zscore(fnd23_intfvalld1_sedv,12)",FAIL,PASS,,FAIL,FAIL,FAIL,PASS,PASS
5586469,20000000,548,550,0.5419,0.0539,0.0925,0.000199,0.26,0.84,2012/1/22,jZnGLz5,"ts_zscore(fnd23_intfvmalld1_nins,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5386025,20000000,525,521,0.5432,0.052,0.1727,0.000191,0.26,0.83,2012/1/22,oKnG3Ok,"ts_zscore(fnd23_intfvmalld1_ppos,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
4930591,20000000,650,614,0.5359,0.0476,0.1231,0.000178,0.26,0.87,2012/1/22,xxeGxoW,"ts_zscore(fnd23_intfvmalld1_sedv,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5657551,20000000,522,489,0.5444,0.0546,0.1739,0.000201,0.25,0.78,2012/1/22,p6Vb12o,"ts_zscore(fnd23_intfvalld1_ecns,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
5657551,20000000,522,489,0.5444,0.0546,0.1739,0.000201,0.25,0.78,2012/1/22,LpnmExa,"ts_zscore(fnd23_intfvmalld1_ecns,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
6465058,20000000,542,495,0.5665,0.0624,0.1362,0.00022,0.25,0.74,2012/1/22,EwqzjMm,"ts_zscore(fnd23_ofc,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
5419897,20000000,543,519,0.5425,0.0523,0.2141,0.000193,0.24,0.78,2012/1/22,KbXVpWp,"ts_zscore(fnd23_ebit,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
4847670,20000000,634,598,0.5391,0.0468,0.1663,0.000174,0.24,0.83,2012/1/22,oK3jmXn,"ts_zscore(fnd23_intfvalld1_caiv,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
15715741,20000000,23,23,0.456,0.1518,1.4458,0.000666,0.24,0.41,2012/1/22,9wa5bQ2,"ts_zscore(fnd23_intfvalld1_drpc,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
12044683,20000000,37,34,0.4055,0.1163,1.1026,0.000574,0.24,0.44,2012/1/22,9wa5w12,"ts_zscore(fnd23_intfvalld1_eros,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
9540653,20000000,5,5,0.4191,0.0923,0.276,0.000441,0.24,0.52,2012/1/22,37aKAVX,"ts_zscore(fnd23_intfvalld1_rrov,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
6310078,20000000,561,473,0.5796,0.0609,0.2622,0.00021,0.24,0.73,2012/1/22,NpnLG0e,"ts_zscore(fnd23_intfvalld1_vbts,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
4847670,20000000,634,598,0.5391,0.0468,0.1663,0.000174,0.24,0.83,2012/1/22,QanNQOG,"ts_zscore(fnd23_intfvmalld1_caiv,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
15715741,20000000,23,23,0.456,0.1518,1.4458,0.000666,0.24,0.41,2012/1/22,Ewq8QOP,"ts_zscore(fnd23_intfvmalld1_drpc,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
12044683,20000000,37,34,0.4055,0.1163,1.1026,0.000574,0.24,0.44,2012/1/22,ngnerdw,"ts_zscore(fnd23_intfvmalld1_eros,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
6310078,20000000,561,473,0.5796,0.0609,0.2622,0.00021,0.24,0.73,2012/1/22,RpNzEpj,"ts_zscore(fnd23_intfvmalld1_vbts,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
