pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
7835567,20000000,123,119,0.3976,0.0757,0.0183,0.000381,1.17,2.68,2012/1/22,07KO0eK,"ts_zscore(srp_relative_valuation_score,12)",FAIL,PASS,FAIL,PASS,PASS,PASS,PASS,PASS
2563203,20000000,99,101,0.3498,0.0252,0.0219,0.000144,0.37,1.38,2012/1/22,k3LE21P,"ts_zscore(srp_fundamental_score,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
470643,20000000,209,209,0.3977,0.0045,0.0293,2.30E-05,0.05,0.43,2012/1/22,vLJw3Jb,"ts_zscore(srp_earnings_score,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
285824,20000000,149,144,0.3976,0.0028,0.0507,1.40E-05,0.01,0.14,2012/1/22,ZpWPL01,"ts_zscore(srp_risk_score,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-1926168,20000000,1,0,0.1931,-0.0277,1.0465,-0.000287,-0.05,-0.13,2012/1/22,Jp5MZXE,"ts_zscore(mdl56_companyname,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-5636747,20000000,48,50,0.386,-0.0544,0.8458,-0.000282,-0.11,-0.28,2012/1/22,bLWG5WN,"ts_zscore(srp_insider_trading_score,12)",FAIL,PASS,FAIL,FAIL,FAIL,ERROR,PASS,PASS
-2616627,20000000,0,0,0.0872,-0.0538,0.3579,-0.001234,-0.25,-0.38,2012/1/22,xxmO0zl,"ts_zscore(mdl56_country,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-4834359,20000000,0,0,0.1074,-0.0854,0.762,-0.00159,-0.44,-0.53,2012/1/22,XpYm5YX,"ts_zscore(mdl56_exchange,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-4264311,20000000,307,306,0.3977,-0.0412,0.4283,-0.000207,-0.7,-2.16,2012/1/22,27n8bnJ,"ts_zscore(srp_average_score,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-7568914,20000000,392,400,0.3976,-0.0731,0.7582,-0.000368,-1.29,-3,2012/1/22,AwOjMOE,"ts_zscore(srp_price_momentum_score,12)",FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
