pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
5343376,20000000,3797,3854,0.2829,0.0516,0.0697,0.000365,0.38,0.89,2012-01-22,vL9jx33,"ts_zscore(anl15_gr_12_m_6m_chg,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3438272,20000000,3827,3883,0.2867,0.0332,0.1252,0.000232,0.2,0.6,2012-01-22,qAdjvoK,"ts_zscore(anl15_gr_12_m_3m_chg,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3863453,20000000,3428,3800,0.3892,0.0373,0.1232,0.000192,0.15,0.48,2012-01-22,eOKzgo6,"ts_zscore(anl15_gr_12_m_ests_up,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
3039589,20000000,3105,3137,0.3495,0.0294,0.1077,0.000168,0.14,0.47,2012-01-22,RpY7Zgd,"ts_zscore(anl15_gr_12_m_cos_up,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1936311,20000000,3885,3880,0.2901,0.0187,0.1113,0.000129,0.09,0.35,2012-01-22,ngo7YRl,"ts_zscore(anl15_gr_12_m_1m_chg,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
2138114,20000000,3424,3529,0.3048,0.0206,0.1274,0.000135,0.08,0.31,2012-01-22,27RlZ3Y,"ts_zscore(anl15_gr_12_m_gro,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
395094,20000000,198,188,0.4189,0.0038,1.0813,1.8e-05,0.0,0.01,2012-01-22,AwblJAR,"ts_zscore(anl15_gr_12_m_cos,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-549724,20000000,2924,2750,0.3556,-0.0053,0.2276,-3e-05,-0.01,-0.08,2012-01-22,Qaj7qL5,"ts_zscore(anl15_gr_12_m_ests,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-866179,20000000,3447,3886,0.3912,-0.0084,0.2186,-4.3e-05,-0.02,-0.11,2012-01-22,8zrl7dz,"ts_zscore(anl15_gr_12_m_ests_dn,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-2135117,20000000,3121,3190,0.352,-0.0206,0.3546,-0.000117,-0.08,-0.32,2012-01-22,Qaj7r8r,"ts_zscore(anl15_gr_12_m_cos_dn,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
4855192,20000000,3850,3808,0.2873,0.0469,0.0844,0.000326,0.32,0.8,2012-01-22,bLMjNJN,"ts_zscore(anl15_gr_18_m_6m_chg,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
4262225,20000000,3851,3862,0.2865,0.0412,0.0818,0.000287,0.28,0.74,2012-01-22,27RlnrP,"ts_zscore(anl15_gr_18_m_3m_chg,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
4170197,20000000,2969,2490,0.415,0.0403,0.2211,0.000194,0.14,0.45,2012-01-22,m8AjxPp,"ts_zscore(anl15_gr_12_m_mean,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
2906742,20000000,2573,1899,0.4157,0.0281,0.178,0.000135,0.11,0.41,2012-01-22,Np675P7,"ts_zscore(anl15_gr_12_m_total,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
2499186,20000000,2921,2468,0.4082,0.0241,0.1645,0.000118,0.06,0.26,2012-01-22,Kb67wKz,"ts_zscore(anl15_gr_12_m_tr_mean,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1123414,20000000,3883,3874,0.2913,0.0108,0.1633,7.4e-05,0.04,0.2,2012-01-22,Np6751X,"ts_zscore(anl15_gr_18_m_1m_chg,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
977862,20000000,3774,3619,0.3514,0.0094,0.2425,5.4e-05,0.02,0.11,2012-01-22,Ewblr69,"ts_zscore(anl15_gr_12_m_pe,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
61412,20000000,3926,3500,0.3522,0.0006,0.247,3e-06,0.0,0.01,2012-01-22,17Lwnqm,"ts_zscore(anl15_gr_12_m_mktcap,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-220056,20000000,3712,3633,0.327,-0.0021,0.2159,-1.3e-05,-0.0,-0.03,2012-01-22,VpE7YNw,"ts_zscore(anl15_gr_12_m_st_dev,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-2325354,20000000,218,205,0.4413,-0.0225,1.189,-0.000102,-0.01,-0.06,2012-01-22,Lp67nEM,"ts_zscore(anl15_gr_18_m_cos,12)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
5700963,20000000,2904,2441,0.4225,0.055,0.1518,0.000261,0.22,0.6,2012-01-22,Opk7oVp,"ts_zscore(anl15_gr_18_m_mean,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
2906023,20000000,3417,3797,0.3895,0.0281,0.1286,0.000144,0.1,0.36,2012-01-22,Gw6lkxP,"ts_zscore(anl15_gr_18_m_ests_up,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1389005,20000000,3125,3145,0.3483,0.0134,0.2035,7.7e-05,0.04,0.22,2012-01-22,Qaj7EPQ,"ts_zscore(anl15_gr_18_m_cos_up,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1291552,20000000,3705,3583,0.3301,0.0125,0.1384,7.6e-05,0.04,0.2,2012-01-22,MpX7pQn,"ts_zscore(anl15_gr_18_m_st_dev,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
518848,20000000,3923,3498,0.3523,0.005,0.2426,2.8e-05,0.01,0.06,2012-01-22,oKvqKlv,"ts_zscore(anl15_gr_18_m_mktcap,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
