pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition
3021507,20000000,4175,4156,0.4785,0.0292,0.183,0.000122,0.1,0.4,2012-01-22,Op52mnb,"ts_zscore(pv53_beta_dol,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
1322157,20000000,3709,3808,0.4775,0.0128,0.2468,5.3e-05,0.03,0.17,2012-01-22,ngOXOYl,"ts_zscore(pv53_beta_hui,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
433038,20000000,3866,4006,0.47,0.0042,0.2231,1.8e-05,0.01,0.06,2012-01-22,oK9kzAE,"ts_zscore(pv53_beta_ccmp,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
561388,20000000,3843,3832,0.4683,0.0054,0.2148,2.3e-05,0.01,0.08,2012-01-22,Np525Aq,"ts_zscore(pv53_beta_ray,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
681835,20000000,3850,3836,0.4689,0.0066,0.2131,2.8e-05,0.01,0.09,2012-01-22,k3LY1bz,"ts_zscore(pv53_beta_spx,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-397902,20000000,3860,3843,0.4694,-0.0038,0.2773,-1.6e-05,-0.01,-0.06,2012-01-22,lVRNR25,"ts_zscore(pv53_beta_indu,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-1176320,20000000,4134,3956,0.466,-0.0114,0.2759,-4.9e-05,-0.02,-0.15,2012-01-22,eOqWdgE,"ts_zscore(pv53_beta_vix,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
-1180558,20000000,3867,4157,0.4685,-0.0114,0.3372,-4.9e-05,-0.02,-0.16,2012-01-22,7wK2a1Q,"ts_zscore(pv53_beta_xoi,12)",PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS
-2309492,20000000,4162,4167,0.4785,-0.0223,0.3598,-9.3e-05,-0.06,-0.3,2012-01-22,PpXAl6w,"ts_zscore(pv53_beta_eur,12)",PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,PASS
